rank,model,success,message,cost,nfev,status,optimality,rss,mse,rmse,n_observations,n_nonlinear_parameters,n_linear_parameters,n_total_parameters,degrees_of_freedom,aic,bic,parameter_k1f,parameter_k1r
1,irreversible,True,`xtol` termination condition is satisfied.,6.840374074973421e-08,7,3,1.440564004875086e-07,1.3680748149946842e-07,5.066943759239571e-09,6.164582564480484e-05,36.0,1.0,8.0,9.0,27.0,-679.9755629658916,-665.7238925197867,0.4000591928727911,
2,reversible,True,`gtol` termination condition is satisfied.,6.840308488782696e-08,12,1,7.997556865526852e-09,1.368061697756539e-07,5.261775760602073e-09,6.164553011092575e-05,36.0,2.0,8.0,10.0,26.0,-677.9759081391467,-662.1407187545856,0.2469644637721047,0.1530947271546205
