statistic,value
success,True
message,`gtol` termination condition is satisfied.
nfev,4
cost,0.00019288300333530087
rss,0.00038576600667060174
rmse,0.005921962256723248
aic,-110.8399232999143
bic,-110.44202802711594
n_residuals,11.0
n_parameters,1.0
