bic_weight_rank,rank,model_name,success,rss,rmse,aic,bic,nfev,message,parameter_k1f,parameter_k1r,parameter_k2f,parameter_k2r,parameter_k3f,parameter_k3r,parameter_k4f,parameter_k4r,parameter_k5f,parameter_k5r,parameter_k6f,parameter_k6r,parameter_k7f,parameter_k7r,parameter_k8f,parameter_k8r,parameter_k9f,parameter_k9r,parameter_k10f,parameter_k10r,parameter_k11f,parameter_k11r,parameter_k12f,parameter_k12r,parameter_k13f,parameter_k13r,parameter_k14f,parameter_k14r,parameter_k15f,parameter_k15r,parameter_k16f,parameter_k16r,parameter_k17f,parameter_k17r,parameter_k18f,parameter_k18r,parameter_k19f,parameter_k19r,parameter_k20f,parameter_k20r,parameter_k21f,parameter_k21r,parameter_k22f,parameter_k22r,parameter_k23f,parameter_k23r,parameter_k24f,parameter_k24r,parameter_k25f,parameter_k25r,parameter_k26f,parameter_k26r,parameter_k27f,parameter_k27r,parameter_k28f,parameter_k28r,parameter_k29f,parameter_k29r,parameter_k30f,parameter_k30r,parameter_k31f,parameter_k31r,parameter_k32f,parameter_k32r,parameter_k33f,parameter_k33r,parameter_k34f,parameter_k34r,parameter_k35f,parameter_k35r,parameter_k36f,parameter_k36r,delta_bic,bic_weight,bic_weight_percent
1,1,order3_step,True,0.0003091590117549,0.0037486907517824,-221.7993398440318,-208.706830403732,16,`xtol` termination condition is satisfied.,2.5648021853586864,0.107469689746287,0.095502963548266,0.1046704510474954,0.0095842054614089,0.0892352324085826,0.1029161427186412,4.3592486385836695,0.0971474535597857,6.06030642787184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9558771291970638,95.58771291970638
2,2,order3_combo,True,0.000308784847142,0.0037464216086945,-217.82598181925903,-202.55138747224265,16,`xtol` termination condition is satisfied.,3.145938276496334,0.1060994064799934,0.2358128935846277,0.079440996456006,0.1588312609411098,0.4819489290485668,0.1012155109491005,7.002216714081178,0.079911761089863,1.154628331770427,0.1934611402550974,3.536601127259717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.155442931489347,0.04403161563715521,4.40316156371552
3,3,order2_step,True,0.0003087037375875,0.0037459295337953,-209.83176139236872,-190.19299723191904,17,`xtol` termination condition is satisfied.,0.9457990308356248,0.6299789603065022,0.0507173713489901,0.0873401214279419,1.522907532303955,0.081330746861428,0.4178017152873744,0.9071674381293982,0.0990037471202001,0.917597992066864,0.0995114174834523,0.7506127988737246,0.1016920954570512,0.4767343455950136,0.1068860408467115,0.2443009466718112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.513833171812962,9.123768933120606e-05,0.009123768933120606
4,4,order2_homo,True,0.0003079961907053,0.0037416342485928,-197.88224311783665,-171.69722423723707,40,`ftol` termination condition is satisfied.,1.0505385713485689,0.2108750795942144,0.0988854189494978,1.0976561668324265,0.1183014145620996,0.1786842734307613,0.9484932088063136,0.2187603570507058,1.1102946102025466,0.4265971580658079,0.8217609117924828,0.1085047502064124,0.439217133694634,0.3511047744794041,0.4050191948299393,0.120455676912397,0.3170254546201103,0.2145005648678245,0.2484994579795267,0.5293674174119243,0.1198558221718561,0.4213997773050617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00960616649493,8.78755796629138e-09,8.78755796629138e-07
5,5,linear_step,True,0.0003083125152309,0.0037435551602411,-197.85965982441107,-171.67464094381148,36,Both `ftol` and `xtol` termination conditions are satisfied.,1.1195522373371172,0.0462757562605931,0.3064369459358285,0.109337561155203,2.2705070782763213,0.2095308362595636,0.3823993680875163,0.6291181531321325,0.2032575379224946,0.421288311385556,0.1153696749866002,0.4523997258791877,0.1075676500043509,0.755246840032166,0.1027397826751789,1.0010942655123607,0.1030703595648722,1.188479465785215,0.1157386362414537,1.3014929005683722,0.0991056811913199,1.359759212045386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.03218945992052,8.688890076101474e-09,8.688890076101474e-07
6,6,linear_homo,True,0.0003087301871758,0.0037460900050822,-177.8298765236531,-140.73443310947036,17,`xtol` termination condition is satisfied.,1.0883439775724295,0.0852503089153204,0.1824723847519325,0.0963879959145861,0.5878804913400935,0.1168773007159836,1.1944710034428565,0.0960273143315341,0.84582022584157,0.1135055682440423,1.053844018281252,0.2384443495198728,0.108613173641644,0.445196968484694,0.3487473674353163,0.1737727553705937,0.1252712832095736,0.0997115192003298,0.1215319006657149,0.2005025747339337,0.132615411872543,0.1054399836988222,0.0556288926297906,1.3148238346016978,1.504437811027221,0.1007673592658024,0.2805808784234038,0.1097589411751295,0.1666631488755819,0.2013073143635563,0.1577232923626876,0.1588103995034062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.97239729426164,1.661053181110455e-15,1.661053181110455e-13
7,7,order2_combo,True,0.000308049830531,0.0037419600511146,-173.8784119879287,-134.60088366702934,21,`xtol` termination condition is satisfied.,0.826453265449476,0.1221799288856032,0.0902199458631335,0.9028926633593874,0.0792122486964076,0.2097613109635795,0.3617099857752089,0.1484550918903581,0.3340165412342051,0.1600478815765307,0.1582053151070012,0.1029735791181526,0.1790206475089833,0.1054933505625329,0.1635068146613199,0.1107043672094596,0.2751987372027102,0.1382823680900653,0.2703341978625811,0.162398649790336,0.2141809915564358,0.1301295905388247,0.1019142884882129,0.1143960506118469,0.1350073154715789,0.1191102606848118,0.1365870564249037,0.363132643837511,0.1188342251175166,0.1363399207076654,0.105853535732411,0.1329859789982463,0.1247837825127463,0.2112787701063862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.10594673670266,7.735710325187103e-17,7.735710325187102e-15
8,8,linear_combo,True,0.0003080693747326,0.0037420787534389,-97.87701624362364,-17.13987469510826,19,`xtol` termination condition is satisfied.,3.7972641409641463,0.103502394982871,0.0913688329353471,0.0960756673312065,1.1469788158027168,0.0969101597511792,1.2265063116233954,0.1088214192126643,0.982003682490405,0.1143019247236512,0.6877332669520129,0.0840951480377427,0.3050907429985161,0.2812317413719011,0.2590694732204447,0.1183533822898132,0.2162243549575224,0.081322555156357,0.1503137116298725,0.0467569006208208,0.1240795090618767,0.1364295379319662,0.0372778683820701,3.003902852410084,1.6712284561594797,0.0890783872574898,0.1061676171182958,0.095301661785851,1.1316702649205224,0.5571594444726043,0.9077767949667492,0.0422739837456481,0.7218367416229456,0.0004715177106629,0.2357033765637828,0.0967024299132725,0.5199898518273315,0.4290703535706032,0.1196006126631049,0.1120953542428802,0.392395855295828,0.3018374630682662,0.2501496810763597,0.3329468542672043,0.3208053760873367,0.0988349622393652,0.2999592407617126,0.0997268581390781,0.1726809792889234,0.0892621263664997,0.1881028746516007,0.097128761781604,0.1798108576506152,0.1871378337481783,0.1890023563235039,0.0971584968416909,0.1477236613111026,0.1727554205857731,0.1545172721593684,0.0901402492726377,0.1698494243973815,0.1502899462191273,0.139029502715854,0.0760420892044745,0.1061868792191743,0.0905842826469548,0.1326409056857534,0.0773011707490842,0.1172734530417638,0.1141075712905777,0.157528986970686,0.0377559775096124,191.56695570862374,2.4108277452755182e-42,2.4108277452755184e-40
