time_min,fcs_early_mean,fcs_late_mean,fcs_amplitude_proxy,fcs_auc_proxy,fcs_half_tau_proxy
10.0,1.0285138999999999,1.0000676250000002,0.028446274999999632,1297025.9594305954,40000.3
20.0,1.0301886,1.0000404550000002,0.03014814499999985,755959.2100445012,88800.2
30.0,1.0308686000000002,1.0000123300000001,0.03085627000000013,349898.90278741927,40000.3
40.0,1.0315313,1.0000108899999998,0.031520410000000165,122003.07984727353,14400.3
50.0,1.0333310999999998,1.00000431,0.03332678999999983,205288.08117465768,63200.2
60.0,1.0326272,1.000009045,0.03261815499999998,79370.53235777284,14400.3
70.0,1.0328636000000002,1.0000061399999998,0.03285746000000045,166507.27900021168,40000.3
80.0,1.0339515,1.0000000850000001,0.03395141499999976,94200.43076029302,88800.2
90.0,1.0336243,0.9999980224999998,0.033626277500000246,130740.5438083042,88800.2
100.0,1.0337799,1.00000095,0.033778950000000085,-51431.742495813625,88800.2
110.0,1.0341536999999998,1.0000003775,0.034153322499999916,-22754.582925154187,88800.2
120.0,1.0333936,1.0000077375000003,0.03338586249999964,22866.35238938268,14400.3
130.0,1.034654,1.0000080625000003,0.03464593749999967,385160.1341546132,88800.2
140.0,1.0351364,1.00000195,0.03513445000000015,-84775.22431799698,88800.2
150.0,1.0349118000000002,1.000006615,0.03490518500000017,-109963.0323892796,63200.2
160.0,1.0345484999999999,1.0000427249999997,0.03450577500000018,483604.6611256308,37600.2
170.0,1.0336083999999999,1.0000475425,0.03356085749999993,1120730.0807796475,37600.2
180.0,1.0323855,1.0002577499999998,0.03212775000000012,5052738.455939569,63200.2
190.0,1.0289195000000002,1.00021295,0.02870655000000011,4581235.416031934,63200.2
200.0,1.0265363,1.0002800000000003,0.026256299999999788,5652716.52199309,63200.2
210.0,1.0255041999999999,1.0009886500000003,0.02451554999999961,20428801.07175907,65600.3
220.0,1.0207074,1.0011936000000001,0.019513799999999915,24016924.796394613,42400.4
