time,A,B,C
0.0,1.0,0.0,0.0
1.0,0.6702795762037512,0.031290921502618904,0.2984295022936298
2.0,0.44927481032708305,0.020977656351591805,0.529747533321325
3.0,0.30113957566204136,0.014060887739877796,0.6847995365980808
4.0,0.20184753150015025,0.009424718911153838,0.788727749588696
5.0,0.13529423032680993,0.006317189245932956,0.8583885804272572
6.0,0.09068495949539847,0.004234286706421427,0.9050807537981801
7.0,0.060784305947588206,0.0028381566899001883,0.9363775373625116
8.0,0.04074243160665932,0.001902356267152946,0.9573552121261878
