rank,model_name,success,message,nfev,rss,rmse,aic,bic,n_observations,n_parameters,baseline,scale,tau_d_ms,alpha,fitted_parameters,output_dir,delta_bic,bic_weight,bic_weight_percent,delta_aic,aic_weight,aic_weight_percent
1,linear_combo,True,`xtol` termination condition is satisfied.,28,0.02032921035690343,0.0014173267981162432,-132601.81021446027,-132052.91777480431,10120,76,1.0001706037894744,0.03301138812839902,0.2455163423851995,0.5970936021216138,"{'k1f': 4.319678253446243e-05, 'k1r': 0.604744142369199, 'k2f': 15.443802055534695, 'k2r': 1.4068291949782604e-06, 'k3f': 0.25390338760227393, 'k3r': 1.7257069849353458e-07, 'k4f': 9.263892051062903e-07, 'k4r': 18.486751416159443, 'k5f': 64.17698221895724, 'k5r': 3.3126790595497057e-07, 'k6f': 2.427379456871039e-07, 'k6r': 9.087511482835386e-08, 'k7f': 8.348024909365459e-06, 'k7r': 1.7770708121742684e-07, 'k8f': 3.1661524777450154e-05, 'k8r': 0.019222753193145186, 'k9f': 2.587823741469264e-06, 'k9r': 4.590799150277835e-06, 'k10f': 1.9897137132917515e-06, 'k10r': 9.8608661292869e-06, 'k11f': 1.3676705632305092e-05, 'k11r': 1.9691414084272207e-05, 'k12f': 1.6051182159082624e-06, 'k12r': 8.84622290548456e-08, 'k13f': 1.1813531822876976e-05, 'k13r': 1.0800635585791098e-06, 'k14f': 49.6218132733846, 'k14r': 6.025153612567834e-07, 'k15f': 7.366871887178184e-06, 'k15r': 2.679136285664375e-07, 'k16f': 7.998914693092004e-08, 'k16r': 2.4037529569460454, 'k17f': 70.36211839007446, 'k17r': 1.1022984909908481e-08, 'k18f': 2.821101586033552e-06, 'k18r': 0.007748389575915931, 'k19f': 0.00048825395109060337, 'k19r': 1.31477115821554e-06, 'k20f': 14.068755013531097, 'k20r': 7.283123489785404e-07, 'k21f': 5.577222806760778e-06, 'k21r': 1.0031638542636288e-06, 'k22f': 8.092093678593758e-07, 'k22r': 8.893137207581885e-08, 'k23f': 9.137685035117369e-07, 'k23r': 63.070996698564784, 'k24f': 7.980284171322632e-07, 'k24r': 4.1113766854892777e-07, 'k25f': 99.56090888636102, 'k25r': 26.137028422662183, 'k26f': 4.561812653517587e-08, 'k26r': 7.335997163572357e-07, 'k27f': 1.6053496259635846e-05, 'k27r': 2.929102991916159e-07, 'k28f': 8.355497225433504e-08, 'k28r': 0.0007564752803598841, 'k29f': 0.1495936567643212, 'k29r': 0.00022658033161709394, 'k30f': 1.6028891675566384e-05, 'k30r': 26.51463572093813, 'k31f': 0.00366766578668646, 'k31r': 0.19283294145246307, 'k32f': 41.26165596846338, 'k32r': 8.355652244169305e-05, 'k33f': 0.0006417153616635045, 'k33r': 0.5350416784804031, 'k34f': 82.99425332107722, 'k34r': 7.650618043246285e-06, 'k35f': 1.0312552801355e-06, 'k35r': 6.0426410556763215e-05, 'k36f': 17.623153083193266, 'k36r': 1.3867478700411636e-05}",fcs_ode/fits_fcs_surface_numba/models/linear_combo,0.0,1.0,100.0,0.0,1.0,100.0
2,order2_step,True,`xtol` termination condition is satisfied.,40,0.03726230661902176,0.0019188658391349272,-126581.86455957343,-126437.41918071659,10120,20,1.0001149542077787,0.0327992440062294,0.2386978988527744,0.5839469338396175,"{'k1f': 0.0025278595706767332, 'k1r': 0.9676772900391443, 'k2f': 15.636530428684859, 'k2r': 1.0538894721065271e-08, 'k3f': 5.998407688667904, 'k3r': 3.2539910737110158e-06, 'k4f': 8.923566341378939, 'k4r': 0.017975337661017506, 'k5f': 55.09982404081624, 'k5r': 0.00038778124149428336, 'k6f': 0.28446409924364047, 'k6r': 2.2516751456757625e-05, 'k7f': 0.08400615981447902, 'k7r': 0.0020149895959876755, 'k8f': 1.989771159382486e-06, 'k8r': 2.821113503506245e-08}",fcs_ode/fits_fcs_surface_numba/models/order2_step,5615.498594087723,0.0,0.0,6019.9456548868475,0.0,0.0
3,order3_combo,True,`ftol` termination condition is satisfied.,27,0.03814839110188148,0.0019415467709592476,-126352.03125589636,-126236.4749528109,10120,16,1.0001157597749255,0.03272671300415334,0.23843593165305543,0.5836018547158519,"{'k1f': 0.0002559482834630646, 'k1r': 7.125976186007349e-08, 'k2f': 0.0005209913331661199, 'k2r': 1.0611577349195964, 'k3f': 1.0631814349572242e-08, 'k3r': 1.6101317611447698e-08, 'k4f': 1.5730481044555225e-06, 'k4r': 0.0021882490787860157, 'k5f': 3.055482787590095e-05, 'k5r': 0.028349036851620366, 'k6f': 0.00012980020612396358, 'k6r': 0.4278458294146497}",fcs_ode/fits_fcs_surface_numba/models/order3_combo,5816.44282199342,0.0,0.0,6249.778958563911,0.0,0.0
4,order2_homo,True,`xtol` termination condition is satisfied.,27,0.038148265181184124,0.001941543566615394,-126332.06466017697,-126144.28566766309,10120,26,1.0001157572725878,0.03272635510288095,0.23843668986867028,0.5836026429063994,"{'k1f': 0.00025594756182722365, 'k1r': 2.5382735956239358e-08, 'k2f': 1.0012910623126306e-05, 'k2r': 0.003190751123778166, 'k3f': 0.00017073695980442992, 'k3r': 1.0090921627137747e-08, 'k4f': 77.94411426316069, 'k4r': 9.855829459967519e-06, 'k5f': 7.887350348176932, 'k5r': 5.21068176723275, 'k6f': 0.7877746869508628, 'k6r': 0.07621447802137998, 'k7f': 0.6816793935020284, 'k7r': 0.12923763633187654, 'k8f': 0.00640653411089531, 'k8r': 0.001363452356934615, 'k9f': 6.049123625865749e-08, 'k9r': 3.6552239631826836e-07, 'k10f': 0.043078197253882296, 'k10r': 0.001057354095045259, 'k11f': 0.0026407686249310613, 'k11r': 0.000492653051940201}",fcs_ode/fits_fcs_surface_numba/models/order2_homo,5908.632107141224,0.0,0.0,6269.745554283305,0.0,0.0
5,linear_step,True,`xtol` termination condition is satisfied.,26,0.03831279418064033,0.0019457258869984748,-126288.51213662469,-126100.73314411081,10120,26,1.0001443201078213,0.03268514288037589,0.2516326438438195,0.5983443438857349,"{'k1f': 0.001916063550162383, 'k1r': 1.6765557369794668, 'k2f': 0.16596344869807086, 'k2r': 0.00027549114562799935, 'k3f': 0.0017589426063618202, 'k3r': 1.346548577528305e-07, 'k4f': 1.1472002391974408e-05, 'k4r': 1.0896954798297922e-07, 'k5f': 0.1975676473642122, 'k5r': 1.964423405337581e-06, 'k6f': 1.8362676745504638e-07, 'k6r': 1.7707697574376254e-06, 'k7f': 69.19828700173787, 'k7r': 0.00019233863363254152, 'k8f': 8.18807559245394, 'k8r': 0.00011527913129518416, 'k9f': 8.082782239185415e-06, 'k9r': 0.24915157683370026, 'k10f': 5.705864625890178e-07, 'k10r': 0.004541466872238651, 'k11f': 13.659626478295626, 'k11r': 0.00902589625382617}",fcs_ode/fits_fcs_surface_numba/models/linear_step,5952.184630693504,0.0,0.0,6313.298077835585,0.0,0.0
6,order2_combo,True,`xtol` termination condition is satisfied.,28,0.03814867705817252,0.0019415540477598812,-126307.95539773471,-126033.50917790673,10120,38,1.0001157621911072,0.03272678466684444,0.23843680507144813,0.5836026772305938,"{'k1f': 0.0002560342102632149, 'k1r': 8.503029220304022e-07, 'k2f': 2.1879268524720626e-05, 'k2r': 0.0009646794531371828, 'k3f': 2.807635170432326e-06, 'k3r': 40.69345395318917, 'k4f': 0.016431038524497524, 'k4r': 0.1487258863114151, 'k5f': 2.5682614596614766, 'k5r': 2.8400943925017104e-06, 'k6f': 13.664980605881762, 'k6r': 0.016005247152587495, 'k7f': 20.542028028461687, 'k7r': 0.0007868087159653084, 'k8f': 6.407610177735961, 'k8r': 0.0015649856234963527, 'k9f': 0.0011701139524786658, 'k9r': 0.02893479170589992, 'k10f': 3.942379718712261e-06, 'k10r': 1.2594773458814723e-05, 'k11f': 0.00013785727987900584, 'k11r': 41.265836922482364, 'k12f': 0.09019757150358544, 'k12r': 2.9255525801260235e-05, 'k13f': 6.651054022038578e-07, 'k13r': 0.007286386193491286, 'k14f': 0.00047741189337185773, 'k14r': 0.1665923048354399, 'k15f': 99.92357979367583, 'k15r': 0.0016970737869375203, 'k16f': 0.03688860774477762, 'k16r': 0.18057249246600426, 'k17f': 11.208027365515411, 'k17r': 0.16272769023406755}",fcs_ode/fits_fcs_surface_numba/models/order2_combo,6019.408596897585,0.0,0.0,6293.854816725565,0.0,0.0
7,order3_step,True,`ftol` termination condition is satisfied.,10,0.041038785590022546,0.0020137566802852654,-125616.92691632711,-125515.81515112733,10120,14,1.0001074178702907,0.0310985185857435,0.23582197869721042,0.5799745441182262,"{'k1f': 1.0000119309792307e-08, 'k1r': 11.90446259304385, 'k2f': 3.078003380987523e-07, 'k2r': 8.212218442231308, 'k3f': 4.599517481638428e-07, 'k3r': 8.660941679287085e-07, 'k4f': 0.0031579336207697333, 'k4r': 0.6061017956446355, 'k5f': 44.5134657335075, 'k5r': 4.987091511132477e-08}",fcs_ode/fits_fcs_surface_numba/models/order3_step,6537.102623676983,0.0,0.0,6984.883298133165,0.0,0.0
8,linear_homo,True,`ftol` termination condition is satisfied.,16,0.04103878570274458,0.002013756683050878,-125572.92688853032,-125312.92520658803,10120,36,1.0001075083037645,0.03109834698137569,0.23584911119304244,0.580010175449872,"{'k1f': 2.2669322578427258e-08, 'k1r': 72.52825589462189, 'k2f': 3.185044314190565e-08, 'k2r': 69.01695632710869, 'k3f': 99.058954125452, 'k3r': 33.26558798363992, 'k4f': 35.589306599953325, 'k4r': 3.315303939363479, 'k5f': 2.6273839230962293, 'k5r': 26.156059754487668, 'k6f': 66.32108443124032, 'k6r': 1.2653972702137173e-08, 'k7f': 1.8216272212832731, 'k7r': 17.19068871099354, 'k8f': 33.99627371701995, 'k8r': 2.267889424077014e-07, 'k9f': 15.822075570640138, 'k9r': 55.89782776128561, 'k10f': 0.0010460316229155622, 'k10r': 76.12666800345094, 'k11f': 4.6933640319696795e-07, 'k11r': 53.90967786750772, 'k12f': 47.576088406546425, 'k12r': 3.561590050884324e-08, 'k13f': 18.399631689477893, 'k13r': 12.931175160840427, 'k14f': 42.830515477937375, 'k14r': 45.28971681100628, 'k15f': 2.5867465120642074e-08, 'k15r': 7.0721102458214e-07, 'k16f': 43.07316481116836, 'k16r': 4.363110828505233e-06}",fcs_ode/fits_fcs_surface_numba/models/linear_homo,6739.992568216287,0.0,0.0,7028.883325929957,0.0,0.0
