time,A,B
0.0,1.0,0.0
10.0,0.982506176426742,0.01749382357325785
20.0,0.9653183774448449,0.03468162255515503
30.0,0.9484312592658903,0.05156874073410963
40.0,0.9318395649479777,0.06816043505202214
50.0,0.9155381258405555,0.08446187415944441
60.0,0.8995218552452743,0.10047814475472563
70.0,0.8837857633437773,0.11621423665622245
80.0,0.8683249422169395,0.1316750577830605
90.0,0.853134590967968,0.14686540903203193
100.0,0.8382099935398886,0.16179000646011116
110.0,0.823546482910611,0.17645351708938872
120.0,0.8091394928554831,0.19086050714451663
130.0,0.7949845394861323,0.20501546051386735
140.0,0.7810772079261977,0.21892279207380205
150.0,0.7674131682047413,0.2325868317952585
160.0,0.7539881681541146,0.24601183184588507
170.0,0.740798020559044,0.25920197944095574
180.0,0.7278386183689562,0.2721613816310434
190.0,0.7151059270704576,0.28489407292954216
200.0,0.7025959669640808,0.297404033035919
210.0,0.690304841216238,0.3096951587837617
220.0,0.6782287255975525,0.32177127440244724
230.0,0.6663638647884569,0.33363613521154306
240.0,0.6547065707287385,0.34529342927126133
250.0,0.6432532209670846,0.35674677903291535
260.0,0.6320002554585711,0.36799974454142886
270.0,0.6209441655502894,0.37905583444971036
280.0,0.6100815064483261,0.38991849355167363
290.0,0.5994088921825267,0.4005911078174731
300.0,0.5889229923490458,0.41107700765095395
310.0,0.5786205303233725,0.4213794696766275
320.0,0.5684982814733516,0.4315017185266481
330.0,0.5585530762618514,0.4414469237381486
340.0,0.5487818447431938,0.4512181552568059
350.0,0.5391815529660864,0.46081844703391356
360.0,0.5297492102729099,0.47025078972709
370.0,0.5204818774520669,0.47951812254793313
380.0,0.5113766655948869,0.488623334405113
390.0,0.5024307349525347,0.49756926504746524
400.0,0.4936412946020325,0.5063587053979672
410.0,0.4850056139963516,0.5149943860036481
420.0,0.47652100692733107,0.5234789930726688
430.0,0.4681848306128929,0.5318151693871069
440.0,0.45999448798429343,0.5400055120157062
450.0,0.4519474267183442,0.5480525732816557
460.0,0.4440411382696328,0.555958861730367
470.0,0.43627315716612797,0.5637268428338719
480.0,0.42864106775030036,0.5713589322496995
490.0,0.4211424954820316,0.5788575045179682
500.0,0.41377510449034827,0.5862248955096515
510.0,0.40653659925355484,0.5934634007464449
520.0,0.39942472374115734,0.6005752762588427
530.0,0.39243726055578687,0.6075627394442129
540.0,0.38557203017691677,0.614427969823083
550.0,0.3788268973609084,0.6211731026390914
560.0,0.37219976445647973,0.62780023554352
570.0,0.36568856720398824,0.6343114327960115
580.0,0.3592912770994625,0.6407087229005375
590.0,0.3530059006471642,0.6469940993528358
600.0,0.34683047861214955,0.6531695213878503
610.0,0.34076308529873667,0.6592369147012631
620.0,0.3348018377113818,0.6651981622886181
630.0,0.32894488668845007,0.6710551133115498
640.0,0.32319040853463604,0.6768095914653638
650.0,0.3175366109442419,0.6824633890557581
660.0,0.31198173235595383,0.688018267644046
670.0,0.3065240413252499,0.6934759586747499
680.0,0.3011618359144384,0.6988381640855614
690.0,0.2958934431003278,0.7041065568996719
700.0,0.29071721819952756,0.7092827818004724
710.0,0.2856315443113802,0.7143684556886196
