parameter,fixed_value,rss,delta_rss,rmse,aic,bic,success,message
k1f,0.04000593302664111,inf,inf,inf,inf,inf,False,Each lower bound must be strictly less than each upper bound.
k1f,0.07114172698067202,inf,inf,inf,inf,inf,False,Each lower bound must be strictly less than each upper bound.
k1f,0.12650986828433955,inf,inf,inf,inf,inf,False,Each lower bound must be strictly less than each upper bound.
k1f,0.22496989393677716,inf,inf,inf,inf,inf,False,Each lower bound must be strictly less than each upper bound.
k1f,0.40005933026641116,inf,inf,inf,inf,inf,False,Each lower bound must be strictly less than each upper bound.
k1f,0.7114172698067202,inf,inf,inf,inf,inf,False,Each lower bound must be strictly less than each upper bound.
k1f,1.2650986828433954,inf,inf,inf,inf,inf,False,Each lower bound must be strictly less than each upper bound.
k1f,2.2496989393677715,inf,inf,inf,inf,inf,False,Each lower bound must be strictly less than each upper bound.
k1f,4.000593302664111,inf,inf,inf,inf,inf,False,Each lower bound must be strictly less than each upper bound.
