time,fcs_amplitude_proxy
10.0,0.02832805694559562
20.0,0.030324208395554154
30.0,0.03129548438454115
40.0,0.03162027087503507
50.0,0.031699925830671216
60.0,0.03171751947712924
70.0,0.03172130412656435
80.0,0.031722113319289404
90.0,0.03172228616566047
100.0,0.0317223230449393
110.0,0.031722331021093134
120.0,0.03172233269570548
130.0,0.03172233304154268
140.0,0.03172233310339478
150.0,0.031722333123241256
160.0,0.03172233315119401
170.0,0.03172233316409937
180.0,0.03172233315281558
190.0,0.03172233313453777
200.0,0.03172233312492723
210.0,0.031722333108613186
220.0,0.03172233311385398
