time,fcs_amplitude_proxy
10.0,-0.00011821805440398112
20.0,0.00017606339555435377
30.0,0.0004392143845410486
40.0,9.986087503496832e-05
50.0,-0.0016268641693285846
60.0,-0.0009006355228706603
70.0,-0.0011361558734360525
80.0,-0.0022293016807102967
90.0,-0.0019039913343397302
100.0,-0.002056626955060703
110.0,-0.002430991478906769
120.0,-0.0016635298042941213
130.0,-0.0029236044584569215
140.0,-0.0034121168966053245
150.0,-0.0031828518767588465
160.0,-0.0027834418488060925
170.0,-0.0018385243359005307
180.0,-0.00040541684718452264
190.0,0.0030157831345376668
200.0,0.005466033124927525
210.0,0.007206783108613585
220.0,0.01220853311385408
