time,A,B
0.0,1.0,0.0
1.0,0.991895352611698,0.008104647388301968
2.0,0.9838563905320191,0.016143609467980914
3.0,0.9758825806780264,0.024117419321973706
4.0,0.9679733949634983,0.03202660503650173
5.0,0.9601283102846672,0.03987168971533281
6.0,0.9523468075562012,0.04765319244379891
7.0,0.944628371711204,0.055371628288796104
8.0,0.9369724917012154,0.06302750829878462
9.0,0.9293786604962112,0.07062133950378877
10.0,0.921846375084603,0.078153624915397
11.0,0.9143751364732381,0.08562486352676194
12.0,0.9069644496873998,0.09303555031260025
13.0,0.8996138237708072,0.10038617622919277
14.0,0.8923227717856155,0.10767722821438451
15.0,0.8850908108124156,0.11490918918758448
16.0,0.8779174617236619,0.12208253827633808
17.0,0.870802246881623,0.12919775311837695
18.0,0.8637446957006413,0.13625530429935875
19.0,0.8567443422790417,0.1432556577209583
20.0,0.8498007241802247,0.15019927581977527
21.0,0.8429133824326659,0.15708661756733405
22.0,0.8360818615299161,0.16391813847008385
23.0,0.8293057094306013,0.17069429056939867
24.0,0.8225844775584227,0.17741552244157727
25.0,0.8159177208021569,0.18408227919784317
26.0,0.8093049975156553,0.19069500248434468
27.0,0.8027458695178451,0.19725413048215495
28.0,0.7962399020927282,0.20376009790727181
29.0,0.789786663989382,0.21021333601061792
30.0,0.7833857274219593,0.2166142725780407
31.0,0.7770366680696876,0.22296333193031243
32.0,0.77073906507687,0.22926093492313002
33.0,0.7644925010528847,0.2355074989471153
34.0,0.7582965620721851,0.24170343792781485
35.0,0.7521508376743,0.24784916232569998
36.0,0.7460549208333616,0.2539450791666385
37.0,0.7400084050375081,0.2599915949624919
38.0,0.7340108895210835,0.2659891104789165
39.0,0.7280619790383056,0.27193802096169445
40.0,0.722161281222844,0.27783871877715605
41.0,0.7163084065878202,0.28369159341217975
42.0,0.7105029685258076,0.28949703147419237
43.0,0.7047445833088314,0.29525541669116867
44.0,0.6990328700883683,0.3009671299116317
45.0,0.6933674508953472,0.3066325491046527
46.0,0.6877479506401489,0.3122520493598511
47.0,0.6821739971126055,0.3178260028873945
48.0,0.6766452209820014,0.32335477901799853
49.0,0.6711612557970728,0.32883874420292725
50.0,0.6657217379860073,0.3342782620139927
51.0,0.6603263068564449,0.33967369314355517
52.0,0.6549746045954769,0.3450253954045232
53.0,0.6496662762696466,0.3503337237303534
54.0,0.6444009698249494,0.35559903017505057
55.0,0.6391783360868323,0.3608216639131677
56.0,0.633998028760194,0.3660019712398061
57.0,0.628859704429385,0.371140295570615
58.0,0.6237630225582079,0.3762369774417921
59.0,0.6187076454899172,0.38129235451008286
60.0,0.613693238056586,0.38630676194341396
61.0,0.608719464855757,0.39128053514424305
62.0,0.6037859974756894,0.3962140025243106
