time,amide_percent_observed,amide_percent_fit,amide_percent_residual
0.0,100.0,1.0,-99.0
1.0,104.17987058030116,0.991895352611698,-103.18797522768946
2.0,98.40916186805153,0.9838563905320191,-97.4253054775195
3.0,98.42587909385678,0.9758825806780264,-97.44999651317875
4.0,98.44739608465846,0.9679733949634983,-97.47942268969497
5.0,97.35580569462702,0.9601283102846672,-96.39567738434235
6.0,97.59528228280593,0.9523468075562012,-96.64293547524973
7.0,98.80937883893516,0.944628371711204,-97.86475046722396
8.0,98.99593087017335,0.9369724917012154,-98.05895837847214
9.0,98.48480418044912,0.9293786604962112,-97.5554255199529
10.0,95.04820100053786,0.921846375084603,-94.12635462545326
11.0,97.59215280293762,0.9143751364732381,-96.67777766646438
12.0,95.38977881845692,0.9069644496873998,-94.48281436876952
13.0,94.59839395298954,0.8996138237708072,-93.69878012921873
14.0,97.66332660979457,0.8923227717856155,-96.77100383800895
15.0,96.17377527736186,0.8850908108124156,-95.28868446654944
16.0,95.82314592470247,0.8779174617236619,-94.94522846297882
17.0,96.16752017012514,0.870802246881623,-95.29671792324352
18.0,96.91255205833326,0.8637446957006413,-96.04880736263262
19.0,93.35969535029668,0.8567443422790417,-92.50295100801763
20.0,94.3361994224825,0.8498007241802247,-93.48639869830227
21.0,94.19285207183576,0.8429133824326659,-93.34993868940309
22.0,94.41124754232293,0.8360818615299161,-93.575165680793
23.0,94.25604633008348,0.8293057094306013,-93.42674062065288
24.0,90.8336373389138,0.8225844775584227,-90.01105286135538
25.0,92.40806208348997,0.8159177208021569,-91.5921443626878
26.0,90.79242087894188,0.8093049975156553,-89.98311588142623
27.0,91.45656581135978,0.8027458695178451,-90.65381994184193
28.0,89.10871981515093,0.7962399020927282,-88.31247991305821
29.0,88.67212543275902,0.789786663989382,-87.88233876876964
30.0,90.43972142108086,0.7833857274219593,-89.6563356936589
31.0,89.85475917717145,0.7770366680696876,-89.07772250910176
32.0,89.16247170495157,0.77073906507687,-88.3917326398747
33.0,87.8335774423401,0.7644925010528847,-87.06908494128722
34.0,89.27579247743282,0.7582965620721851,-88.51749591536063
35.0,90.21737714245896,0.7521508376743,-89.46522630478466
36.0,89.40108471941734,0.7460549208333616,-88.65502979858398
37.0,87.22847874170398,0.7400084050375081,-86.48847033666647
38.0,83.44590874445727,0.7340108895210835,-82.71189785493618
39.0,86.00000494376772,0.7280619790383056,-85.27194296472942
40.0,84.39869945007892,0.722161281222844,-83.67653816885608
41.0,85.48266592873162,0.7163084065878202,-84.7663575221438
42.0,85.8024822794719,0.7105029685258076,-85.0919793109461
43.0,86.38688108750749,0.7047445833088314,-85.68213650419865
44.0,83.58983699284555,0.6990328700883683,-82.89080412275717
45.0,84.66450220704803,0.6933674508953472,-83.97113475615268
46.0,79.64571183207858,0.6877479506401489,-78.95796388143843
47.0,81.02793298756247,0.6821739971126055,-80.34575899044987
48.0,80.2431710114196,0.6766452209820014,-79.56652579043761
49.0,82.70838268296495,0.6711612557970728,-82.03722142716788
50.0,81.07473647407993,0.6657217379860073,-80.40901473609392
51.0,78.83887768243258,0.6603263068564449,-78.17855137557613
52.0,78.535583896526,0.6549746045954769,-77.88060929193053
53.0,77.59296269771941,0.6496662762696466,-76.94329642144977
54.0,79.44942912652974,0.6444009698249494,-78.8050281567048
55.0,78.91047898875068,0.6391783360868323,-78.27130065266385
56.0,76.02465762622623,0.633998028760194,-75.39065959746604
57.0,73.94528465666322,0.628859704429385,-73.31642495223383
58.0,75.84899660689024,0.6237630225582079,-75.22523358433203
59.0,75.5794611417482,0.6187076454899172,-74.96075349625828
60.0,74.46458102146185,0.613693238056586,-73.85088778340527
61.0,73.92333619561063,0.608719464855757,-73.31461673075488
62.0,73.07970329299482,0.6037859974756894,-72.47591729551914
63.0,72.34574453765552,0.598892511128301,-71.74685202652722
64.0,71.86648567531059,0.5940386833644831,-71.2724469919461
65.0,71.48983469769037,0.5892241940741004,-70.90061050361626
66.0,71.25442226522912,0.5844487254859911,-70.66997353974314
67.0,70.26116261456711,0.5797119621679672,-69.68145065239915
68.0,69.7603583922408,0.5750135910268138,-69.18534480121399
69.0,68.7992842288921,0.57035330130829,-68.22893092758382
70.0,67.60347522139,0.5657307845971278,-67.03774443679288
71.0,67.13088796714038,0.5611457348170333,-66.56974223232335
72.0,65.96723457385775,0.5565978482306859,-65.41063672562707
73.0,66.42762120495502,0.5520868234397386,-65.87553438151528
74.0,64.18270349192122,0.5476123613848176,-63.6350911305364
75.0,63.86174904005204,0.543174165345523,-63.31857487470651
76.0,64.69828043138942,0.5387719409404282,-64.159508490449
77.0,63.80749443409606,0.5344053961270804,-63.27308903796898
78.0,62.02450746470755,0.5300742412019999,-61.494433223505546
79.0,61.79781062493747,0.5257781888006807,-61.27203243613679
80.0,61.9013444590414,0.5215169538975906,-61.37982750514381
81.0,61.09758877762601,0.5172902538061703,-60.580298523819835
82.0,59.26225412108104,0.5130978081788348,-58.74915631290221
83.0,58.55264477974024,0.5089393390069721,-58.04370544073327
84.0,58.91373261857834,0.5048145706209436,-58.40891804795739
85.0,58.60142670710545,0.5007232296900846,-58.100703477415365
86.0,57.07779847143316,0.49666504512874504,-56.58113342630442
87.0,56.14165701559372,0.49263974530630666,-55.649017270287416
88.0,55.33051627785296,0.488647063804605,-54.84186921404835
89.0,55.28738816884737,0.48468673807438145,-54.80270143077299
90.0,54.74020910658252,0.48075850743685666,-54.259450599145666
91.0,53.66205660010054,0.4768621130837307,-53.18519448701681
92.0,51.73662816680192,0.4729972980771827,-51.26363086872474
93.0,52.6056664776929,0.4691638073498712,-52.13650267034303
94.0,52.30006280089956,0.46536138770493385,-51.83470141319463
95.0,51.94132346295316,0.4615897878159878,-51.47973367513717
96.0,51.16217500107294,0.45784875822712934,-50.70432624284581
97.0,49.27401210757129,0.4541380513529339,-48.81987405621835
98.0,49.682163923260646,0.4504574214784564,-49.23170650178219
99.0,49.11503185418846,0.446806624759231,-48.668225229429225
100.0,48.26851819922461,0.4431854192212709,-47.825332780003336
101.0,47.75702915243716,0.43959356476106887,-47.317435587676094
102.0,47.73548011015865,0.4360308231455967,-47.29944928701305
103.0,46.87189575623421,0.43249695801230564,-46.4393987982219
104.0,45.57643717361471,0.4289917348691261,-45.14744543874558
105.0,44.89081296510509,0.42551492109446776,-44.46529804401062
106.0,45.31192303299824,0.4220662859372197,-44.88985674706102
107.0,44.893065614329394,0.4186456005167499,-44.47442001381265
108.0,42.53430716928708,0.41525263782290617,-42.11905453146418
109.0,43.64670130263529,0.41188717271601505,-43.23481412991928
110.0,43.09968077314994,0.4085489819268827,-42.69113179122306
111.0,42.674159938872045,0.40523784405679447,-42.26892209481525
112.0,42.123878855626806,0.4019535395775148,-41.721925316049294
113.0,41.88203958970157,0.39869585083128756,-41.48334373887028
114.0,41.03272372544148,0.3954645618287962,-40.63725916361268
115.0,41.17321548265405,0.39225945604037377,-40.78095602661368
116.0,40.75379755359423,0.38908032182654856,-40.364717231767685
117.0,40.08633696552308,0.38592695025169466,-39.70041001527139
118.0,40.4980518195212,0.3827991338607568,-40.115252685660444
119.0,39.29032207644787,0.3796966666792507,-38.91062540976862
120.0,38.65926959199104,0.37661934421326265,-38.28265024777778
121.0,38.09043326141043,0.37356696344944984,-37.71686629796098
