data_column,signal_column,scale,offset,rss
G_tau_3p690989e+04_ms,G_tau_3p690989e+04_ms,-0.005488755992663113,1.0055251139995443,1.3112397066612138e-05
G_tau_3p858761e+04_ms,G_tau_3p858761e+04_ms,-0.005262836415134857,1.0053088640258372,1.3008580138446839e-05
G_tau_4p026534e+04_ms,G_tau_4p026534e+04_ms,-0.005015928265832598,1.005074683624994,1.2812984325352523e-05
G_tau_4p194306e+04_ms,G_tau_4p194306e+04_ms,-0.005001162645962479,1.0050599516920347,1.2624321975841244e-05
G_tau_4p362078e+04_ms,G_tau_4p362078e+04_ms,-0.004986474432756646,1.0050403675927084,1.2395193926220118e-05
G_tau_4p529850e+04_ms,G_tau_4p529850e+04_ms,-0.004914134994952337,1.0049660313695843,1.2179203780085755e-05
G_tau_4p697623e+04_ms,G_tau_4p697623e+04_ms,-0.0049051817975628255,1.0049552957455434,1.188076835286472e-05
G_tau_4p865395e+04_ms,G_tau_4p865395e+04_ms,-0.0049441674652270125,1.0049913441270681,1.1872040209466271e-05
G_tau_5p033167e+04_ms,G_tau_5p033167e+04_ms,-0.004869942966022637,1.0049205546627444,1.1735331754352697e-05
G_tau_5p200940e+04_ms,G_tau_5p200940e+04_ms,-0.0050285439459409245,1.005067410814149,1.1501722428545724e-05
G_tau_5p368712e+04_ms,G_tau_5p368712e+04_ms,-0.004946640433170858,1.0049897209970144,1.1285560641913324e-05
G_tau_5p704256e+04_ms,G_tau_5p704256e+04_ms,-0.004704841344318077,1.0047537819144625,1.0950674980042011e-05
G_tau_6p039800e+04_ms,G_tau_6p039800e+04_ms,-0.004604938015273839,1.004657367037816,1.0568831307011446e-05
G_tau_6p375344e+04_ms,G_tau_6p375344e+04_ms,-0.004307742028041724,1.0043747015220577,1.0228264861430688e-05
G_tau_6p710889e+04_ms,G_tau_6p710889e+04_ms,-0.004530507678124843,1.0045753611687689,9.901739665497063e-06
G_tau_7p046433e+04_ms,G_tau_7p046433e+04_ms,-0.004325289018211033,1.0043783936893431,9.547277741191713e-06
