parameter,fixed_value,error_type,error_message,traceback
k1f,0.04000593192231092,ValueError,Each lower bound must be strictly less than each upper bound.,"Traceback (most recent call last):
  File ""/home/benshin/mODEler/src/odefit/fitting/variable_projection_profile_likelihood.py"", line 167, in fit_variable_projection_profile_likelihood
    result = fit_global_observable_model_variable_projection(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/benshin/mODEler/src/odefit/fitting/variable_projection.py"", line 485, in fit_global_observable_model_variable_projection
    optimizer_result = least_squares(
                       ^^^^^^^^^^^^^^
  File ""/home/benshin/miniconda3/envs/modeler/lib/python3.11/site-packages/scipy/_lib/_util.py"", line 717, in inner
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File ""/home/benshin/miniconda3/envs/modeler/lib/python3.11/site-packages/scipy/optimize/_lsq/least_squares.py"", line 897, in least_squares
    raise ValueError(""Each lower bound must be strictly less than each ""
ValueError: Each lower bound must be strictly less than each upper bound.
"
k1f,0.07114172501686436,ValueError,Each lower bound must be strictly less than each upper bound.,"Traceback (most recent call last):
  File ""/home/benshin/mODEler/src/odefit/fitting/variable_projection_profile_likelihood.py"", line 167, in fit_variable_projection_profile_likelihood
    result = fit_global_observable_model_variable_projection(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/benshin/mODEler/src/odefit/fitting/variable_projection.py"", line 485, in fit_global_observable_model_variable_projection
    optimizer_result = least_squares(
                       ^^^^^^^^^^^^^^
  File ""/home/benshin/miniconda3/envs/modeler/lib/python3.11/site-packages/scipy/_lib/_util.py"", line 717, in inner
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File ""/home/benshin/miniconda3/envs/modeler/lib/python3.11/site-packages/scipy/optimize/_lsq/least_squares.py"", line 897, in least_squares
    raise ValueError(""Each lower bound must be strictly less than each ""
ValueError: Each lower bound must be strictly less than each upper bound.
"
k1f,0.12650986479214082,ValueError,Each lower bound must be strictly less than each upper bound.,"Traceback (most recent call last):
  File ""/home/benshin/mODEler/src/odefit/fitting/variable_projection_profile_likelihood.py"", line 167, in fit_variable_projection_profile_likelihood
    result = fit_global_observable_model_variable_projection(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/benshin/mODEler/src/odefit/fitting/variable_projection.py"", line 485, in fit_global_observable_model_variable_projection
    optimizer_result = least_squares(
                       ^^^^^^^^^^^^^^
  File ""/home/benshin/miniconda3/envs/modeler/lib/python3.11/site-packages/scipy/_lib/_util.py"", line 717, in inner
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File ""/home/benshin/miniconda3/envs/modeler/lib/python3.11/site-packages/scipy/optimize/_lsq/least_squares.py"", line 897, in least_squares
    raise ValueError(""Each lower bound must be strictly less than each ""
ValueError: Each lower bound must be strictly less than each upper bound.
"
k1f,0.2249698877266721,ValueError,Each lower bound must be strictly less than each upper bound.,"Traceback (most recent call last):
  File ""/home/benshin/mODEler/src/odefit/fitting/variable_projection_profile_likelihood.py"", line 167, in fit_variable_projection_profile_likelihood
    result = fit_global_observable_model_variable_projection(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/benshin/mODEler/src/odefit/fitting/variable_projection.py"", line 485, in fit_global_observable_model_variable_projection
    optimizer_result = least_squares(
                       ^^^^^^^^^^^^^^
  File ""/home/benshin/miniconda3/envs/modeler/lib/python3.11/site-packages/scipy/_lib/_util.py"", line 717, in inner
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File ""/home/benshin/miniconda3/envs/modeler/lib/python3.11/site-packages/scipy/optimize/_lsq/least_squares.py"", line 897, in least_squares
    raise ValueError(""Each lower bound must be strictly less than each ""
ValueError: Each lower bound must be strictly less than each upper bound.
"
k1f,0.40005931922310917,ValueError,Each lower bound must be strictly less than each upper bound.,"Traceback (most recent call last):
  File ""/home/benshin/mODEler/src/odefit/fitting/variable_projection_profile_likelihood.py"", line 167, in fit_variable_projection_profile_likelihood
    result = fit_global_observable_model_variable_projection(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/benshin/mODEler/src/odefit/fitting/variable_projection.py"", line 485, in fit_global_observable_model_variable_projection
    optimizer_result = least_squares(
                       ^^^^^^^^^^^^^^
  File ""/home/benshin/miniconda3/envs/modeler/lib/python3.11/site-packages/scipy/_lib/_util.py"", line 717, in inner
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File ""/home/benshin/miniconda3/envs/modeler/lib/python3.11/site-packages/scipy/optimize/_lsq/least_squares.py"", line 897, in least_squares
    raise ValueError(""Each lower bound must be strictly less than each ""
ValueError: Each lower bound must be strictly less than each upper bound.
"
k1f,0.7114172501686437,ValueError,Each lower bound must be strictly less than each upper bound.,"Traceback (most recent call last):
  File ""/home/benshin/mODEler/src/odefit/fitting/variable_projection_profile_likelihood.py"", line 167, in fit_variable_projection_profile_likelihood
    result = fit_global_observable_model_variable_projection(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/benshin/mODEler/src/odefit/fitting/variable_projection.py"", line 485, in fit_global_observable_model_variable_projection
    optimizer_result = least_squares(
                       ^^^^^^^^^^^^^^
  File ""/home/benshin/miniconda3/envs/modeler/lib/python3.11/site-packages/scipy/_lib/_util.py"", line 717, in inner
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File ""/home/benshin/miniconda3/envs/modeler/lib/python3.11/site-packages/scipy/optimize/_lsq/least_squares.py"", line 897, in least_squares
    raise ValueError(""Each lower bound must be strictly less than each ""
ValueError: Each lower bound must be strictly less than each upper bound.
"
k1f,1.2650986479214084,ValueError,Each lower bound must be strictly less than each upper bound.,"Traceback (most recent call last):
  File ""/home/benshin/mODEler/src/odefit/fitting/variable_projection_profile_likelihood.py"", line 167, in fit_variable_projection_profile_likelihood
    result = fit_global_observable_model_variable_projection(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/benshin/mODEler/src/odefit/fitting/variable_projection.py"", line 485, in fit_global_observable_model_variable_projection
    optimizer_result = least_squares(
                       ^^^^^^^^^^^^^^
  File ""/home/benshin/miniconda3/envs/modeler/lib/python3.11/site-packages/scipy/_lib/_util.py"", line 717, in inner
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File ""/home/benshin/miniconda3/envs/modeler/lib/python3.11/site-packages/scipy/optimize/_lsq/least_squares.py"", line 897, in least_squares
    raise ValueError(""Each lower bound must be strictly less than each ""
ValueError: Each lower bound must be strictly less than each upper bound.
"
k1f,2.249698877266721,ValueError,Each lower bound must be strictly less than each upper bound.,"Traceback (most recent call last):
  File ""/home/benshin/mODEler/src/odefit/fitting/variable_projection_profile_likelihood.py"", line 167, in fit_variable_projection_profile_likelihood
    result = fit_global_observable_model_variable_projection(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/benshin/mODEler/src/odefit/fitting/variable_projection.py"", line 485, in fit_global_observable_model_variable_projection
    optimizer_result = least_squares(
                       ^^^^^^^^^^^^^^
  File ""/home/benshin/miniconda3/envs/modeler/lib/python3.11/site-packages/scipy/_lib/_util.py"", line 717, in inner
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File ""/home/benshin/miniconda3/envs/modeler/lib/python3.11/site-packages/scipy/optimize/_lsq/least_squares.py"", line 897, in least_squares
    raise ValueError(""Each lower bound must be strictly less than each ""
ValueError: Each lower bound must be strictly less than each upper bound.
"
k1f,4.000593192231092,ValueError,Each lower bound must be strictly less than each upper bound.,"Traceback (most recent call last):
  File ""/home/benshin/mODEler/src/odefit/fitting/variable_projection_profile_likelihood.py"", line 167, in fit_variable_projection_profile_likelihood
    result = fit_global_observable_model_variable_projection(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/benshin/mODEler/src/odefit/fitting/variable_projection.py"", line 485, in fit_global_observable_model_variable_projection
    optimizer_result = least_squares(
                       ^^^^^^^^^^^^^^
  File ""/home/benshin/miniconda3/envs/modeler/lib/python3.11/site-packages/scipy/_lib/_util.py"", line 717, in inner
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File ""/home/benshin/miniconda3/envs/modeler/lib/python3.11/site-packages/scipy/optimize/_lsq/least_squares.py"", line 897, in least_squares
    raise ValueError(""Each lower bound must be strictly less than each ""
ValueError: Each lower bound must be strictly less than each upper bound.
"
