time,fcs_amplitude_proxy,fcs_auc_proxy,fcs_half_tau_proxy
10.0,0.033094024837604416,-6013040.970419567,44560.4012528451
20.0,0.03205639408200529,-260365.428985022,53429.81113554101
30.0,0.03197960074085374,165380.60157906264,54086.22153515517
40.0,0.031906008501276284,573379.5688149594,54715.26971387956
50.0,0.0318311144314745,988595.9463388063,55355.445613900665
60.0,0.031755640473616245,1407027.2515440509,56000.57825294592
70.0,0.031681156214983665,1819971.615948636,56637.251188916896
80.0,0.031608877641463556,2220687.5544607155,57255.07047658466
90.0,0.031539522166709105,2605197.69078001,57847.90384229481
100.0,0.03147342697439839,2971632.6621419974,58412.869123745906
110.0,0.03141068467496457,3319479.0317861736,58949.17470996581
120.0,0.03135124358699476,3649023.3239874337,59457.262360830784
130.0,0.03129497307082052,3960989.8114423826,59938.24875176721
140.0,0.031241703629178514,4256318.19524966,60393.58270326757
150.0,0.031191250870488314,4536030.7513288595,60824.840348746446
160.0,0.031143429110629776,4801156.921502681,61233.608869926524
170.0,0.031098059002848594,5052691.012928458,61621.421278302056
180.0,0.03105497148618116,5291570.307837922,61989.72266498396
190.0,0.03101400903120997,5518668.1570085585,62339.85955229236
200.0,0.03097502650636579,5734789.176942099,62673.07248882082
210.0,0.030937890770547018,5940671.508402547,62990.49953162469
220.0,0.03090247969538415,6136992.237029878,63293.18460366182
