time,fcs_amplitude_proxy,fcs_auc_proxy,fcs_half_tau_proxy
10.0,0.004647749837604815,-7310066.929850163,4560.101252845096
20.0,0.0019082490820054934,-1016324.6390295232,-35370.38886445899
30.0,0.0011233307408536446,-184518.30120835663,14085.921535155168
40.0,0.00038559850127618117,451376.48896768584,40314.96971387956
50.0,-0.0014956755685252981,783307.8651641486,-7844.754386099332
60.0,-0.0008625145263836537,1327656.719186278,41600.27825294592
70.0,-0.0011763037850167357,1653464.3369484243,16636.951188916893
80.0,-0.002342537358536144,2126487.1237004227,-31545.129523415337
90.0,-0.002086755333291092,2474457.146971706,-30952.29615770519
100.0,-0.002305523025601615,3023064.404637811,-30387.33087625409
110.0,-0.002742637825035331,3342233.614711328,-29851.025290034187
120.0,-0.0020346189130048403,3626156.971598051,45056.96236083079
130.0,-0.003350964429179079,3575829.6772877695,-28861.951248232785
140.0,-0.0038927463708215877,4341093.419567657,-28406.617296732424
150.0,-0.0037139341295117888,4645993.783718139,-2375.3596512535514
160.0,-0.003362345889370323,4317552.26037705,23633.408869926527
170.0,-0.0024627984971513084,3931960.9321488105,24021.22127830206
180.0,-0.0010727785138189422,238831.85189835355,-1210.4773350160394
190.0,0.0023074590312098693,937432.7409766242,-860.3404477076401
200.0,0.004718726506366087,82072.65494900849,-527.1275111791765
210.0,0.006422340770547416,-14488129.563356524,-2609.8004683753097
220.0,0.011388679695384249,-17879932.559364736,20892.78460366182
