time,fcs_amplitude_proxy
10.0,0.02831813012583039
20.0,0.03046388255385366
30.0,0.03125419572032534
40.0,0.03154947288989347
50.0,0.0316598061363722
60.0,0.03170102463208027
70.0,0.031716421550915426
80.0,0.03172217285689325
90.0,0.031724321162548044
100.0,0.031725123433697995
110.0,0.0317254231259284
120.0,0.03172553508299433
130.0,0.03172557673301698
140.0,0.03172559234815179
150.0,0.03172559829180625
160.0,0.03172560048300718
170.0,0.03172560132086693
180.0,0.0317256016524712
190.0,0.03172560178709448
200.0,0.0317256018481218
210.0,0.03172560187605769
220.0,0.031725601888071185
