time,fcs_amplitude_proxy
10.0,-0.00012814487416920942
20.0,0.00031573755385385857
30.0,0.0003979257203252408
40.0,2.9062889893370636e-05
50.0,-0.0016669838636276038
60.0,-0.0009171303679196274
70.0,-0.0011410384490849745
80.0,-0.0022292421431064496
90.0,-0.0019019563374521528
100.0,-0.002053826566302007
110.0,-0.0024278993740715
120.0,-0.0016603274170052668
130.0,-0.00292036076698262
140.0,-0.0034088576518483127
150.0,-0.003179586708193849
160.0,-0.002780174516992917
170.0,-0.0018352561791329727
180.0,-0.0004021483475288995
190.0,0.0030190517870943775
200.0,0.0054693018481221
210.0,0.007210051876058089
220.0,0.012211801888071284
