time,fcs_amplitude_proxy
10.0,0.028280638110347464
20.0,0.030723916571725646
30.0,0.031333233354586223
40.0,0.03155120022121588
50.0,0.03164074452209999
60.0,0.03167932885926721
70.0,0.03169627749660414
80.0,0.03170378387289302
90.0,0.03170712048125527
100.0,0.03170860589826352
110.0,0.0317092677230792
120.0,0.03170956261894134
130.0,0.0317096941106907
140.0,0.031709752729908426
150.0,0.03170977886398578
160.0,0.03170979049448056
170.0,0.031709795686876464
180.0,0.031709797991255825
190.0,0.031709799009315365
200.0,0.03170979946838596
210.0,0.03170979966791017
220.0,0.03170979974691026
