time,fcs_amplitude_proxy
10.0,-0.00016563688965213694
20.0,0.0005757715717258464
30.0,0.00047696335458612474
40.0,3.0790221215777624e-05
50.0,-0.001686045477899814
60.0,-0.0009388261407326862
70.0,-0.0011611825033962589
80.0,-0.0022476311271066793
90.0,-0.001919157018744927
100.0,-0.002070344101736482
110.0,-0.0024440547769207024
120.0,-0.0016762998810582602
130.0,-0.0029362433893088957
140.0,-0.0034246972700916756
150.0,-0.0031954061360143227
160.0,-0.0027959845055195373
170.0,-0.0018510618131234377
180.0,-0.00041795200874427535
190.0,0.0030032490093152633
200.0,0.005453499468386257
210.0,0.007194249667910567
220.0,0.012195999746910359
