time,fcs_amplitude_proxy
10.0,0.02845121146936363
20.0,0.030052696167353093
30.0,0.031233644444468994
40.0,0.03161015451149035
50.0,0.03170586858698724
60.0,0.03172837243074559
70.0,0.03173355549557078
80.0,0.03173474342746161
90.0,0.03173501539651552
100.0,0.031735077704141655
110.0,0.031735091768124966
120.0,0.03173509507796878
130.0,0.03173509586028944
140.0,0.03173509605197752
150.0,0.03173509611432072
160.0,0.031735096136295986
170.0,0.03173509614297354
180.0,0.03173509614416019
190.0,0.03173509614318654
200.0,0.03173509614269363
210.0,0.03173509614220072
220.0,0.0317350961417078
