time,fcs_amplitude_proxy
10.0,4.936469364027335e-06
20.0,-9.54488326467065e-05
30.0,0.0003773744444688955
40.0,8.97445114902487e-05
50.0,-0.001620921413012559
60.0,-0.000889782569254309
70.0,-0.001123904504429618
80.0,-0.0022166715725380898
90.0,-0.0018912621034846769
100.0,-0.002043872295858347
110.0,-0.002418230731874936
120.0,-0.0016507674220308174
130.0,-0.002910841639710157
140.0,-0.003399353948022585
150.0,-0.0031700888856793855
160.0,-0.002770678863704114
170.0,-0.001825761357026362
180.0,-0.0003926538558399126
190.0,0.003028546143186442
200.0,0.005478796142693931
210.0,0.007219546142201119
220.0,0.012221296141707902
