parameter,initial_guess,fitted_value,lower_bound,upper_bound,fixed,fixed_value,tied_to
k1f,0.01,0.00813766393778691,0.0,10.0,False,,
k1r,0.01,2.2774230462558107e-35,0.0,10.0,False,,
