time,fcs_amplitude_proxy
10.0,0.028444974160675155
20.0,0.030065596204526295
30.0,0.03128719961369601
40.0,0.03161486619661262
50.0,0.031701117999247394
60.0,0.03172369340333978
70.0,0.03172959267444539
80.0,0.03173113424240323
90.0,0.03173153661216381
100.0,0.03173164154120768
110.0,0.03173166942385251
120.0,0.0317316762774477
130.0,0.03173167821355555
140.0,0.03173167882390808
150.0,0.03173167901837797
160.0,0.03173167904370377
170.0,0.03173167902524957
180.0,0.03173167901515629
190.0,0.03173167901001907
200.0,0.03173167900488184
210.0,0.031731678999744606
220.0,0.03173167899578389
