rank,model,success,rss,rmse,aic,bic,n_residuals,n_parameters,cost,nfev,message,delta_aic,delta_bic
1,start_2,True,1.3680748113801654e-07,6.164582556336924e-05,-679.9755630610053,-665.7238926149004,36.0,9.0,6.840374056900827e-08,8,Both `ftol` and `xtol` termination conditions are satisfied.,0.0,0.0
2,start_4,True,1.368074813110653e-07,6.164582560235736e-05,-679.9755630154687,-665.7238925693637,36.0,9.0,6.840374065553265e-08,8,Both `ftol` and `xtol` termination conditions are satisfied.,4.553669441520469e-08,4.553669441520469e-08
3,start_1,True,1.3680748134349898e-07,6.164582560966471e-05,-679.975563006934,-665.723892560829,36.0,9.0,6.840374067174949e-08,16,`xtol` termination condition is satisfied.,5.407139269664185e-08,5.407139269664185e-08
4,start_5,True,1.3680748159831087e-07,6.164582566707418e-05,-679.9755629398818,-665.7238924937768,36.0,9.0,6.840374079915543e-08,12,`xtol` termination condition is satisfied.,1.2112354852433782e-07,1.2112354852433782e-07
5,start_7,True,1.3680748163122853e-07,6.164582567449058e-05,-679.9755629312199,-665.7238924851149,36.0,9.0,6.840374081561426e-08,7,`xtol` termination condition is satisfied.,1.2978546237718547e-07,1.2978546237718547e-07
6,start_3,True,1.3680748163581434e-07,6.164582567552376e-05,-679.9755629300131,-665.7238924839081,36.0,9.0,6.840374081790716e-08,18,`xtol` termination condition is satisfied.,1.3099224815960042e-07,1.3099224815960042e-07
7,start_0,True,1.3680748170601886e-07,6.164582569134094e-05,-679.9755629115392,-665.7238924654342,36.0,9.0,6.840374085300943e-08,9,`xtol` termination condition is satisfied.,1.4946613191568758e-07,1.4946613191568758e-07
8,start_6,True,1.368074823568511e-07,6.164582583797434e-05,-679.9755627402769,-665.723892294172,36.0,9.0,6.840374117842555e-08,15,`xtol` termination condition is satisfied.,3.207284180462011e-07,3.207284180462011e-07
