model_name,model_dir,success,message,nfev,rss,mse,rmse,n_observations,n_nonlinear_parameters,n_linear_parameters,n_total_parameters,degrees_of_freedom,aic,bic,parameter_k1f,parameter_k1r,parameter_k2f,parameter_k2r,parameter_k3f,parameter_k3r,parameter_k4f,parameter_k4r,parameter_k5f,parameter_k5r,parameter_k6f,parameter_k6r,parameter_k7f,parameter_k7r,parameter_k8f,parameter_k8r,parameter_k9f,parameter_k9r,parameter_k10f,parameter_k10r,parameter_k11f,parameter_k11r,parameter_k12f,parameter_k12r,parameter_k13f,parameter_k13r,parameter_k14f,parameter_k14r,parameter_k15f,parameter_k15r,parameter_k16f,parameter_k16r,parameter_k17f,parameter_k17r,parameter_k18f,parameter_k18r,parameter_k19f,parameter_k19r,parameter_k20f,parameter_k20r,parameter_k21f,parameter_k21r,parameter_k22f,parameter_k22r,parameter_k23f,parameter_k23r,parameter_k24f,parameter_k24r,parameter_k25f,parameter_k25r,parameter_k26f,parameter_k26r,parameter_k27f,parameter_k27r,parameter_k28f,parameter_k28r,parameter_k29f,parameter_k29r,parameter_k30f,parameter_k30r,parameter_k31f,parameter_k31r,parameter_k32f,parameter_k32r,parameter_k33f,parameter_k33r,parameter_k34f,parameter_k34r,parameter_k35f,parameter_k35r,parameter_k36f,parameter_k36r
linear_combo,fcs_ode/fits_fcs_features_amplitude_numba/models/linear_combo,True,`xtol` termination condition is satisfied.,19,0.00030806937473266667,0.00030806937473266667,0.003742078753438975,22.0,72.0,2.0,74.0,1.0,-97.87701624362364,-17.13987469510826,3.7972641409641468,0.10350239498287106,0.09136883293534719,0.09607566733120654,1.1469788158027168,0.09691015975117923,1.2265063116233954,0.10882141921266435,0.982003682490405,0.11430192472365128,0.6877332669520129,0.0840951480377427,0.3050907429985161,0.2812317413719011,0.25906947322044477,0.11835338228981326,0.2162243549575224,0.08132255515635702,0.1503137116298725,0.04675690062082082,0.12407950906187673,0.13642953793196627,0.0372778683820701,3.003902852410084,1.6712284561594797,0.08907838725748984,0.10616761711829581,0.09530166178585107,1.1316702649205224,0.5571594444726043,0.9077767949667493,0.042273983745648135,0.7218367416229456,0.0004715177106629019,0.23570337656378287,0.0967024299132725,0.5199898518273315,0.42907035357060325,0.11960061266310498,0.11209535424288028,0.39239585529582804,0.3018374630682662,0.2501496810763597,0.33294685426720433,0.3208053760873367,0.09883496223936523,0.29995924076171265,0.0997268581390781,0.17268097928892345,0.08926212636649974,0.18810287465160072,0.09712876178160403,0.17981085765061522,0.18713783374817836,0.18900235632350393,0.09715849684169094,0.14772366131110268,0.1727554205857731,0.15451727215936847,0.09014024927263775,0.16984942439738154,0.1502899462191273,0.139029502715854,0.07604208920447453,0.10618687921917437,0.09058428264695488,0.13264090568575346,0.07730117074908421,0.11727345304176384,0.11410757129057775,0.15752898697068604,0.037755977509612466
linear_homo,fcs_ode/fits_fcs_features_amplitude_numba/models/linear_homo,True,`xtol` termination condition is satisfied.,17,0.00030873018717589133,0.00030873018717589133,0.003746090005082216,22.0,32.0,2.0,34.0,1.0,-177.8298765236531,-140.73443310947036,1.0883439775724297,0.08525030891532044,0.18247238475193256,0.09638799591458619,0.5878804913400935,0.11687730071598368,1.1944710034428563,0.09602731433153411,0.84582022584157,0.11350556824404232,1.053844018281252,0.2384443495198728,0.10861317364164409,0.445196968484694,0.34874736743531637,0.17377275537059378,0.12527128320957362,0.0997115192003298,0.12153190066571491,0.20050257473393376,0.13261541187254308,0.10543998369882221,0.0556288926297906,1.3148238346016978,1.504437811027221,0.1007673592658024,0.2805808784234038,0.10975894117512958,0.16666314887558195,0.20130731436355637,0.15772329236268762,0.15881039950340625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_step,fcs_ode/fits_fcs_features_amplitude_numba/models/linear_step,True,Both `ftol` and `xtol` termination conditions are satisfied.,36,0.00030831251523090214,0.00030831251523090214,0.0037435551602411684,22.0,22.0,2.0,24.0,1.0,-197.85965982441107,-171.67464094381148,1.1195522373371172,0.04627575626059316,0.30643694593582854,0.10933756115520302,2.2705070782763213,0.20953083625956365,0.38239936808751634,0.6291181531321325,0.2032575379224946,0.42128831138555606,0.11536967498660028,0.45239972587918775,0.10756765000435092,0.755246840032166,0.10273978267517897,1.0010942655123607,0.10307035956487225,1.188479465785215,0.11573863624145375,1.3014929005683722,0.09910568119131993,1.3597592120453859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
order2_combo,fcs_ode/fits_fcs_features_amplitude_numba/models/order2_combo,True,`xtol` termination condition is satisfied.,21,0.000308049830531037,0.000308049830531037,0.003741960051114662,22.0,34.0,2.0,36.0,1.0,-173.8784119879287,-134.60088366702934,0.826453265449476,0.12217992888560321,0.09021994586313355,0.9028926633593874,0.07921224869640768,0.20976131096357956,0.3617099857752089,0.14845509189035813,0.33401654123420516,0.16004788157653072,0.15820531510700128,0.10297357911815261,0.17902064750898336,0.10549335056253292,0.16350681466131992,0.11070436720945967,0.2751987372027102,0.1382823680900653,0.2703341978625811,0.16239864979033605,0.21418099155643586,0.13012959053882475,0.10191428848821296,0.11439605061184692,0.13500731547157893,0.11911026068481184,0.13658705642490376,0.363132643837511,0.11883422511751669,0.13633992070766543,0.10585353573241107,0.13298597899824632,0.12478378251274636,0.2112787701063862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
order2_homo,fcs_ode/fits_fcs_features_amplitude_numba/models/order2_homo,True,`ftol` termination condition is satisfied.,40,0.0003079961907053401,0.0003079961907053401,0.0037416342485928167,22.0,22.0,2.0,24.0,1.0,-197.88224311783665,-171.69722423723707,1.0505385713485689,0.21087507959421448,0.09888541894949784,1.0976561668324265,0.11830141456209965,0.17868427343076135,0.9484932088063137,0.21876035705070582,1.1102946102025466,0.42659715806580795,0.8217609117924828,0.10850475020641244,0.43921713369463405,0.3511047744794041,0.4050191948299393,0.12045567691239703,0.31702545462011034,0.2145005648678245,0.24849945797952672,0.5293674174119243,0.11985582217185617,0.4213997773050617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
order2_step,fcs_ode/fits_fcs_features_amplitude_numba/models/order2_step,True,`xtol` termination condition is satisfied.,17,0.00030870373758752677,7.717593439688169e-05,0.003745929533795358,22.0,16.0,2.0,18.0,4.0,-209.83176139236872,-190.19299723191904,0.9457990308356248,0.6299789603065022,0.050717371348990105,0.08734012142794191,1.522907532303955,0.08133074686142801,0.4178017152873744,0.9071674381293982,0.0990037471202001,0.9175979920668639,0.09951141748345231,0.7506127988737246,0.10169209545705124,0.4767343455950136,0.1068860408467115,0.24430094667181124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
order3_combo,fcs_ode/fits_fcs_features_amplitude_numba/models/order3_combo,True,`xtol` termination condition is satisfied.,16,0.0003087848471420566,3.859810589275707e-05,0.003746421608694553,22.0,12.0,2.0,14.0,8.0,-217.82598181925906,-202.55138747224262,3.145938276496334,0.10609940647999347,0.2358128935846277,0.07944099645600604,0.15883126094110983,0.48194892904856684,0.10121551094910056,7.002216714081178,0.07991176108986305,1.154628331770427,0.19346114025509745,3.536601127259717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
order3_step,fcs_ode/fits_fcs_features_amplitude_numba/models/order3_step,True,`xtol` termination condition is satisfied.,16,0.00030915901175497865,3.0915901175497864e-05,0.003748690751782418,22.0,10.0,2.0,12.0,10.0,-221.7993398440318,-208.706830403732,2.5648021853586864,0.10746968974628701,0.09550296354826607,0.10467045104749545,0.009584205461408937,0.08923523240858265,0.10291614271864122,4.3592486385836695,0.09714745355978574,6.06030642787184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
