model_name,rank,success,best_start_index,n_starts,n_successful_starts,n_failed_starts,observed_species,rss,rmse,aic,bic,message
single_step,1,True,0,10,10,0,A,1.368135877807956e-07,6.164720138299413e-05,-679.9739561734877,-665.7222857273828,`xtol` termination condition is satisfied.
two_step,2,True,2,10,10,0,A,1.364701918346792e-07,6.156978692568639e-05,-678.064428140642,-662.2292387560809,`gtol` termination condition is satisfied.
