time,fcs_amplitude_proxy,fcs_auc_proxy,fcs_half_tau_proxy
10.0,0.03384570079977182,-6497815.070967749,47505.76186633673
20.0,0.032145809198184286,281281.63105489686,55305.165818435824
30.0,0.032116441274792094,398399.68283381686,55439.91105604751
40.0,0.03207964004528981,545161.4488877766,55608.761619550576
50.0,0.03203395560431633,727349.0912338458,55818.369931719004
60.0,0.03197790852082381,950862.5190943703,56075.523884410446
70.0,0.031910148460370026,1221086.8098209538,56386.41905137528
80.0,0.03182968856648193,1541957.5058068,56755.58330501958
90.0,0.031736205871394085,1914762.5890099686,57184.49847869307
100.0,0.031630363830342276,2336856.2276629116,57670.12052218501
110.0,0.03151407077696419,2800628.0669303387,58203.69366253797
120.0,0.03139055285770548,3293212.3695443925,58770.41576806624
130.0,0.03126413928563724,3797344.414610304,59350.42364190195
140.0,0.03113973330657278,4293470.262635058,59921.220323216185
150.0,0.03102208038669528,4762665.19270003,60461.0327720874
160.0,0.030915050440599445,5189496.147049313,60952.105134462276
170.0,0.03082116063694116,5563924.762226317,61382.888194411724
180.0,0.03074144968456224,5881808.710757133,61748.61617167164
190.0,0.030675672656107912,6144124.752701905,62050.41283635598
200.0,0.030622676230744123,6355472.283372171,62293.5698288627
210.0,0.030580804008636258,6522456.956119953,62485.68700520869
220.0,0.03054823505706574,6652340.574565867,62635.11912744376
