data_column,signal_column,scale,offset,rss
fcs_amplitude_proxy,fcs_amplitude_proxy,1174.0854878784098,-1174.05170161897,0.00027761437431938205
fcs_auc_proxy,fcs_auc_proxy,-3268536210915.0444,3268532728034.2236,554750542939886.8
fcs_half_tau_proxy,fcs_half_tau_proxy,-2157524892.5296073,2157579016.828323,14436441378.264048
