time,A,A2
0.0,1.0,0.0
1.0,0.9871474968549029,0.00642625157254861
2.0,0.9746211752902572,0.012689412354871478
3.0,0.9624087582148226,0.01879562089258871
4.0,0.9504986116140951,0.024750694192952498
5.0,0.938879668489194,0.030560165755403015
6.0,0.9275413621315338,0.03622931893423312
7.0,0.9164736260182897,0.041763186990855176
8.0,0.905666893500844,0.04716655324957802
9.0,0.8951120230245311,0.052443988487734475
10.0,0.8848003354083852,0.05759983229580743
11.0,0.8747235572120623,0.06263822139396884
12.0,0.8648737487239697,0.06756312563801513
13.0,0.8552433039612657,0.0723783480193672
14.0,0.8458249506698593,0.07708752466507036
15.0,0.8366117503244112,0.08169412483779445
16.0,0.8275970945819857,0.08620145270900714
17.0,0.8187746030941516,0.09061269845292418
18.0,0.810138223985777,0.09493088800711155
19.0,0.8016821674139851,0.09915891629300745
20.0,0.7934008516334249,0.10329957418328756
21.0,0.78528890299627,0.10735554850186502
22.0,0.7773411559522192,0.11132942202389043
23.0,0.7695526530484963,0.11522367347575187
24.0,0.7619186449298503,0.11904067753507488
25.0,0.7544345903385551,0.12278270483072247
26.0,0.7470961334791306,0.12645193326043472
27.0,0.7398990240439015,0.13005048797804925
28.0,0.7328392569886486,0.1335803715056757
29.0,0.7259129675333819,0.1370435162333091
30.0,0.7191164148355341,0.14044179258223294
31.0,0.7124459819899616,0.14377700900501922
32.0,0.7058981760289432,0.1470509119855284
33.0,0.6994696279221814,0.15026518603890934
34.0,0.693157092576801,0.1534214537115995
35.0,0.6869574488373505,0.15652127558132473
36.0,0.6808676994858012,0.1595661502570994
37.0,0.6748849712415474,0.1625575143792263
38.0,0.6690064508693663,0.1654967745653169
39.0,0.6632294227136633,0.16838528864316835
40.0,0.6575513166810361,0.17122434165948194
41.0,0.6519696340106893,0.17401518299465538
42.0,0.6464819472272452,0.17675902638637744
43.0,0.641085900140744,0.179457049929628
44.0,0.6357792078466439,0.18211039607667806
45.0,0.6305596567258206,0.18472017163708968
46.0,0.6254251044445679,0.18728744777771603
47.0,0.6203734799545972,0.18981326002270138
48.0,0.6154027834930379,0.19229860825348105
49.0,0.6105110865824369,0.19474445670878152
50.0,0.6056965320307593,0.19715173398462033
51.0,0.6009573287737592,0.19952133561312038
52.0,0.5962916825078154,0.2018541587460923
53.0,0.5916979027993404,0.20415104860032982
54.0,0.5871743657302997,0.20641281713485016
55.0,0.5827194872773435,0.20864025636132827
56.0,0.5783317233118069,0.21083413834409653
57.0,0.5740095695997103,0.2129952152001449
58.0,0.5697515618017583,0.21512421909912083
59.0,0.5655562754733412,0.2172218622633294
60.0,0.5614223260645336,0.2192888369677332
61.0,0.5573483689200954,0.22132581553995231
62.0,0.5533330992794712,0.22333345036026442
63.0,0.5493752522767905,0.22531237386160474
64.0,0.545473602940868,0.227263198529566
65.0,0.541626966195203,0.22918651690239852
66.0,0.5378341968579797,0.23108290157101014
67.0,0.5340941857388225,0.23295290713058875
68.0,0.5304058060966785,0.23479709695166073
69.0,0.5267679997406899,0.2366160001296551
70.0,0.5231797510985013,0.23841012445074936
71.0,0.5196400664510276,0.24017996677448625
72.0,0.5161479739324524,0.2419260130337738
73.0,0.5127025235302293,0.2436487382348854
74.0,0.509302787085081,0.24534860645745954
75.0,0.5059478582909998,0.24702607085450015
76.0,0.5026368526952473,0.2486815736523764
77.0,0.49936890769835474,0.2503155461508227
78.0,0.49614318255412265,0.2519284087229387
79.0,0.4929588583696211,0.25352057081518947
80.0,0.48981513810518956,0.25509243094740525
81.0,0.48671124657443693,0.25664437671278156
82.0,0.48364643044424155,0.25817678477787925
83.0,0.48061995823475123,0.2596900208826244
84.0,0.47763112031938326,0.26118443984030837
85.0,0.47467922892482434,0.26266038553758786
86.0,0.47176360368187176,0.2641181981590641
87.0,0.46888355293153855,0.2655582235342307
88.0,0.4660384406129838,0.26698077969350814
89.0,0.4632276457609741,0.26838617711951296
90.0,0.46045055918498795,0.269774720407506
91.0,0.4577065834692158,0.2711467082653921
92.0,0.4549951329725596,0.2725024335137202
93.0,0.45231563382863316,0.2738421830856834
94.0,0.4496675239457621,0.2751662380271189
95.0,0.4470502530069838,0.2764748734965081
96.0,0.44446328247004735,0.27776835876497635
97.0,0.4419060855674136,0.2790469572162932
98.0,0.43937814730625535,0.2803109263468723
99.0,0.4368789644684569,0.2815605177657715
100.0,0.4344080456106146,0.2827959771946927
101.0,0.4319649110640363,0.2840175444679819
102.0,0.42954909293474175,0.2852254535326291
103.0,0.4271601351034625,0.28641993244826874
104.0,0.42479759322564187,0.2876012033871791
105.0,0.4224610347314348,0.2887694826342826
106.0,0.42015003882570817,0.2899249805871459
107.0,0.4178641962641531,0.2910679018679234
108.0,0.415603082622288,0.29219845868885597
109.0,0.41336629096601446,0.29331685451699274
110.0,0.4111534394643776,0.29442328026781117
111.0,0.40896415255248975,0.29551792372375507
112.0,0.4067980609315304,0.29660096953423476
113.0,0.4046548015687464,0.2976725992156268
114.0,0.40253401769745156,0.2987329911512742
115.0,0.40043535881702713,0.2997823205914864
116.0,0.39835848069292157,0.3008207596535392
117.0,0.39630304535665034,0.3018484773216748
118.0,0.3942687211057964,0.30286563944710176
119.0,0.3922551825040097,0.3038724087479951
120.0,0.39026211038100755,0.30486894480949617
121.0,0.38828919183257443,0.30585540408371276
122.0,0.38633612022056196,0.306831939889719
123.0,0.38440259517288905,0.30779870241355545
124.0,0.3824883225835419,0.30875583870822904
125.0,0.3805930146125737,0.3097034926937131
126.0,0.37871638968610516,0.3106418051569474
127.0,0.37685817249632386,0.31157091375183804
