statistic,value
success,True
message,`gtol` termination condition is satisfied.
nfev,5
cost,3.0056706773734296e-09
rss,6.01134135474686e-09
rmse,2.238180316452568e-05
aic,-254.97429491132726
bic,-254.48938826153926
n_residuals,12.0
n_parameters,1.0
