time,fcs_amplitude_proxy
10.0,-0.0002012671727650156
20.0,0.0007081298057179976
30.0,0.0005861972758885899
40.0,9.444341953471214e-05
50.0,-0.0016598526320931173
60.0,-0.0009353595276727425
70.0,-0.0011698248517193754
80.0,-0.00226230174626188
90.0,-0.0019367127135749423
100.0,-0.0020892472300499954
110.0,-0.0024635775495558745
120.0,-0.0016961046583755454
130.0,-0.0029561757214290885
140.0,-0.0034446870177574015
150.0,-0.0032154216491373164
160.0,-0.002816011527152787
170.0,-0.001871093992620955
180.0,-0.00043798650526034183
190.0,0.002983213475873485
200.0,0.005433463487653178
210.0,0.00717421351366937
220.0,0.012175963517089057
