rank,model_name,success,rss,rmse,aic,bic,nfev,message,parameter_k1f,parameter_k1r,parameter_k2f,parameter_k2r,parameter_k3f,parameter_k3r,parameter_k4f,parameter_k4r,parameter_k5f,parameter_k5r,parameter_k6f,parameter_k6r,parameter_k7f,parameter_k7r,parameter_k8f,parameter_k8r,parameter_k9f,parameter_k9r,parameter_k10f,parameter_k10r,parameter_k11f,parameter_k11r,parameter_k12f,parameter_k12r,parameter_k13f,parameter_k13r,parameter_k14f,parameter_k14r,parameter_k15f,parameter_k15r,parameter_k16f,parameter_k16r,parameter_k17f,parameter_k17r,parameter_k18f,parameter_k18r,parameter_k19f,parameter_k19r,parameter_k20f,parameter_k20r,parameter_k21f,parameter_k21r,parameter_k22f,parameter_k22r,parameter_k23f,parameter_k23r,parameter_k24f,parameter_k24r,parameter_k25f,parameter_k25r,parameter_k26f,parameter_k26r,parameter_k27f,parameter_k27r,parameter_k28f,parameter_k28r,parameter_k29f,parameter_k29r,parameter_k30f,parameter_k30r,parameter_k31f,parameter_k31r,parameter_k32f,parameter_k32r,parameter_k33f,parameter_k33r,parameter_k34f,parameter_k34r,parameter_k35f,parameter_k35r,parameter_k36f,parameter_k36r,delta_bic,bic_weight,bic_weight_percent,delta_aic,aic_weight,aic_weight_percent
1,order2_step,True,0.0354052473003097,0.0018704390456122,-125267.2215405252,-118507.1778100256,35,`xtol` termination condition is satisfied.,1.0590765950116758,0.1451574901394534,0.0812378169700277,1.6753637471271254,0.2705356324229527,0.4063817579869663,0.4053521512672952,0.3636141573402902,0.4899403923326605,0.4673704599984447,0.3304842368214435,0.5238357039938912,0.2169214049110145,0.5417905108187461,0.2653997883863436,0.4148620755751768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9997592124569684,99.97592124569684,0.0,0.9982034400500358,99.82034400500358
2,order3_step,True,0.0356584115308156,0.0018771143949321,-125207.11625088792,-118490.40613404536,17,`xtol` termination condition is satisfied.,1.2364643923263192,0.0757848593712024,0.2504959699989695,0.1729831237033381,0.7729584523062605,0.0939086184214618,2.683919355324942,4.412240108035706,0.1222964035477673,4.910214073806846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.771675980242435,0.000228019636741736,0.0228019636741736,60.10528963728575,8.861785850560207e-14,8.861785850560207e-12
3,order3_combo,True,0.0356137623942575,0.0018759388267334,-125215.79579456372,-118484.6411398355,26,`xtol` termination condition is satisfied.,1.4692777099714969,0.0770904833970275,0.2726104604746461,0.0874810189190552,1.2053049979808816,0.1334227342595677,0.2895326189185809,0.3349600790643396,0.1168056629025994,0.2595881997699005,0.1038193007838921,0.1953276844650966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.536670190107543,1.2767905589493092e-05,0.0012767905589493092,51.425745961489156,6.796107076410896e-12,6.796107076410896e-10
4,order2_homo,True,0.0354074870910114,0.0018704982081099,-125254.58135392304,-118451.20400976636,21,`xtol` termination condition is satisfied.,1.3400472349839443,0.3054940425258158,0.0726525434552145,1.3372609124621773,0.1675815558535086,0.3085381443867487,0.4082177068188319,0.2647639054245418,0.2445498858515177,0.4586589420498805,0.3719519553841247,0.2560914350463568,0.2435164625617225,0.2452739048846469,0.0057291026838127,0.2408507448686052,0.2052338371469543,0.137616012201048,0.4481559763561475,0.364499819626137,0.1479079811341468,0.4976933700267514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.9738002592494,7.003886874667903e-13,7.003886874667902e-11,12.64018660216243,0.0017965421726681657,0.17965421726681657
5,linear_step,True,0.035565214804288,0.001874659779523,-125209.60047976748,-118406.22313561084,21,`xtol` termination condition is satisfied.,1.2814696627817914,0.0652468436452591,0.1929096054865293,0.1101232719859767,2.5025306283250104,0.1435903628129642,0.9651013132677424,0.3083908327182757,0.5556266294964791,0.484354090630442,0.1723372724993823,0.4351148557029928,0.164018626910516,0.3252692628493596,0.1234797824063968,0.221300477821211,0.1308163876398321,0.1675869197324215,0.1023665331453312,0.12684460469778,0.1083680337928022,0.1066045422599953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.95467441476649,1.1963724522202452e-22,1.1963724522202452e-20,57.62106075772317,3.068772530234647e-13,3.0687725302346474e-11
6,order2_combo,True,0.0354041554231851,0.0018704102037666,-125231.53364022032,-118341.48906874958,24,`ftol` termination condition is satisfied.,1.1088636574782678,0.1259036517259422,0.0845115858769786,1.1708051282454113,0.1043114677334772,0.232578396968822,0.4258085333511383,0.1332847715713043,0.3790128111037637,0.1441608635737868,0.586259306900306,0.8413096555818423,0.5825685783384348,0.0998844668235023,0.122039992452356,0.0986641675727453,0.3250115062363816,0.2041785861663795,0.2996963090513804,0.1600142672136306,0.6276092176594995,0.0897523519679621,0.1742510893772868,0.0913936037000418,0.117302793999057,0.0955214941842783,0.1342740496101999,0.3988294797484948,0.1450493053008913,0.1368287210199959,0.116062175443606,0.2379469311265419,0.3039801249788182,0.249054290114542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.68874127602612,1.0496448755869724e-36,1.0496448755869725e-34,35.68790030488162,1.7770104250494423e-08,1.7770104250494423e-06
7,linear_homo,True,0.0355758470849557,0.0018749399749273,-125186.57554091218,-118310.97550732712,17,`xtol` termination condition is satisfied.,2.958608933302864,0.0651862255675578,0.3785180811127493,0.0592385589915119,0.68808717476337,0.1155535193777513,1.036638335245806,0.0813461365326564,3.706427688014156,0.0941739888891301,1.6527181240866982,0.2673243635134447,2.3804272690252324,0.6035712413189923,0.6601801194333018,0.5509207755994262,0.2577796624137793,0.0965099109341753,0.1494594113764113,0.6810060254913254,0.1129910182839263,0.2157342262243234,0.0618205661824617,7.824647767512562,10.19375256804059,0.0894837070717258,0.1595186852992641,0.0003007765779424,0.4264413141695226,0.4199523841605853,0.1941997322489511,0.3530515231520119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.20230269848253,2.4837433387946164e-43,2.483743338794616e-41,80.64599961302883,3.070172324181915e-18,3.070172324181915e-16
8,linear_combo,True,0.0355484777810684,0.0018742186192949,-125114.36408216112,-117949.8732908624,18,`xtol` termination condition is satisfied.,3.3919019347891486,0.0860753524380849,0.0880798365208302,0.0233064570343552,1.2732251252590152,0.034347768019846,1.4570727382994095,0.0935787737660839,1.188159236877899,0.0686011277548019,0.6909205669557299,0.139514576212047,0.4043456878535316,0.134835085239949,0.340716584074425,0.1049210533553136,0.2158582524450943,0.1342573081891847,0.2223077362970176,0.1835562028853269,0.1178927048897786,0.1584906287185693,0.0676428570772125,3.3392705356714933,2.211863532464044,0.0648277228179501,0.0941457843948388,0.0032075460959779,1.217068793955397,0.3974003277538838,1.01788161777855,0.2214241724156637,0.8045559633893328,0.0966917791717385,0.3051751020049597,0.1620001581194741,0.3897320736128364,0.1893161154545069,0.2251782205404309,0.1007401975543204,0.4829566364331858,0.1176823768432933,0.1201953374240486,0.1630888648109248,0.3317954583229578,0.2386732190346761,0.265152489338432,0.0990825786582475,0.1855091964170546,0.1611881270863784,0.2463237468974911,0.0367455774246627,0.6573904725314266,0.1203291297811117,0.0811192313822735,0.0650072311699117,0.1260143961852961,0.0997915458290713,0.2253369608984315,0.1040021774028314,0.1495897675529727,0.1172556066550069,0.1349181538494142,0.0989648279099659,0.1281616795586352,0.0685706227727953,0.1215005257690293,0.0464111015409427,0.1193987881418973,0.1050505942783399,0.113824873166183,0.1542605928604297,557.3045191632118,9.610737347352532e-122,9.610737347352532e-120,152.8574583640875,6.406837657631459e-34,6.406837657631459e-32
