rank,model_name,success,rss,rmse,aic,bic,nfev,message,parameter_k1f,parameter_k1r,parameter_k2f,parameter_k2r,parameter_k3f,parameter_k3r,parameter_k4f,parameter_k4r,parameter_k5f,parameter_k5r,parameter_k6f,parameter_k6r,parameter_k7f,parameter_k7r,parameter_k8f,parameter_k8r,parameter_k9f,parameter_k9r,parameter_k10f,parameter_k10r,parameter_k11f,parameter_k11r,parameter_k12f,parameter_k12r,parameter_k13f,parameter_k13r,parameter_k14f,parameter_k14r,parameter_k15f,parameter_k15r,parameter_k16f,parameter_k16r,parameter_k17f,parameter_k17r,parameter_k18f,parameter_k18r,parameter_k19f,parameter_k19r,parameter_k20f,parameter_k20r,parameter_k21f,parameter_k21r,parameter_k22f,parameter_k22r,parameter_k23f,parameter_k23r,parameter_k24f,parameter_k24r,parameter_k25f,parameter_k25r,parameter_k26f,parameter_k26r,parameter_k27f,parameter_k27r,parameter_k28f,parameter_k28r,parameter_k29f,parameter_k29r,parameter_k30f,parameter_k30r,parameter_k31f,parameter_k31r,parameter_k32f,parameter_k32r,parameter_k33f,parameter_k33r,parameter_k34f,parameter_k34r,parameter_k35f,parameter_k35r,parameter_k36f,parameter_k36r
1,order2_step,True,0.03540524730030973,0.001870439045612223,-125267.22154052519,-118507.17781002559,35,`xtol` termination condition is satisfied.,1.0590765950116758,0.14515749013945348,0.08123781697002778,1.6753637471271254,0.27053563242295275,0.40638175798696635,0.40535215126729524,0.36361415734029023,0.4899403923326605,0.4673704599984447,0.33048423682144357,0.5238357039938912,0.21692140491101458,0.5417905108187461,0.2653997883863436,0.4148620755751768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,order3_step,True,0.0356584115308156,0.0018771143949321844,-125207.11625088792,-118490.40613404536,17,`xtol` termination condition is satisfied.,1.2364643923263192,0.07578485937120248,0.25049596999896956,0.17298312370333815,0.7729584523062605,0.0939086184214618,2.683919355324942,4.412240108035706,0.12229640354776736,4.910214073806846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,order3_combo,True,0.03561376239425757,0.0018759388267334319,-125215.79579456373,-118484.6411398355,26,`xtol` termination condition is satisfied.,1.4692777099714969,0.07709048339702756,0.27261046047464615,0.08748101891905528,1.2053049979808816,0.1334227342595677,0.2895326189185809,0.3349600790643396,0.11680566290259949,0.2595881997699005,0.10381930078389214,0.19532768446509668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,order2_homo,True,0.03540748709101149,0.0018704982081099778,-125254.58135392303,-118451.20400976637,21,`xtol` termination condition is satisfied.,1.3400472349839445,0.3054940425258158,0.07265254345521452,1.3372609124621773,0.16758155585350867,0.30853814438674876,0.4082177068188319,0.26476390542454187,0.24454988585151774,0.45865894204988056,0.3719519553841247,0.25609143504635684,0.24351646256172255,0.2452739048846469,0.005729102683812708,0.2408507448686052,0.20523383714695437,0.13761601220104805,0.4481559763561475,0.36449981962613703,0.14790798113414688,0.49769337002675146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,linear_step,True,0.035565214804288016,0.0018746597795230116,-125209.60047976748,-118406.22313561084,21,`xtol` termination condition is satisfied.,1.2814696627817914,0.06524684364525916,0.19290960548652938,0.11012327198597677,2.5025306283250104,0.14359036281296422,0.9651013132677423,0.3083908327182757,0.5556266294964791,0.484354090630442,0.1723372724993823,0.4351148557029928,0.164018626910516,0.3252692628493596,0.12347978240639687,0.221300477821211,0.13081638763983217,0.1675869197324215,0.10236653314533126,0.12684460469778006,0.10836803379280227,0.10660454225999531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,order2_combo,True,0.03540415542318516,0.0018704102037666135,-125231.53364022032,-118341.48906874958,24,`ftol` termination condition is satisfied.,1.1088636574782678,0.1259036517259422,0.08451158587697868,1.1708051282454113,0.10431146773347721,0.23257839696882202,0.4258085333511383,0.13328477157130436,0.3790128111037637,0.14416086357378685,0.586259306900306,0.8413096555818423,0.5825685783384348,0.09988446682350233,0.12203999245235603,0.09866416757274532,0.3250115062363816,0.20417858616637954,0.2996963090513804,0.16001426721363063,0.6276092176594995,0.08975235196796216,0.17425108937728684,0.09139360370004186,0.11730279399905705,0.09552149418427838,0.13427404961019998,0.39882947974849486,0.14504930530089133,0.13682872101999594,0.11606217544360607,0.2379469311265419,0.3039801249788182,0.249054290114542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,linear_homo,True,0.03557584708495572,0.0018749399749273586,-125186.57554091218,-118310.97550732711,17,`xtol` termination condition is satisfied.,2.958608933302864,0.0651862255675578,0.3785180811127493,0.0592385589915119,0.68808717476337,0.11555351937775131,1.036638335245806,0.08134613653265649,3.7064276880141556,0.09417398888913013,1.6527181240866982,0.2673243635134447,2.3804272690252324,0.6035712413189923,0.6601801194333018,0.5509207755994262,0.2577796624137793,0.09650991093417531,0.1494594113764113,0.6810060254913254,0.11299101828392631,0.21573422622432342,0.06182056618246173,7.824647767512562,10.19375256804059,0.08948370707172584,0.1595186852992641,0.0003007765779424354,0.4264413141695226,0.41995238416058533,0.19419973224895118,0.35305152315201194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,linear_combo,True,0.0355484777810684,0.0018742186192949575,-125114.36408216112,-117949.8732908624,18,`xtol` termination condition is satisfied.,3.3919019347891486,0.08607535243808492,0.0880798365208302,0.02330645703435525,1.2732251252590152,0.034347768019846056,1.4570727382994095,0.09357877376608399,1.188159236877899,0.06860112775480195,0.6909205669557299,0.13951457621204702,0.4043456878535316,0.13483508523994908,0.340716584074425,0.10492105335531368,0.21585825244509435,0.13425730818918477,0.2223077362970176,0.18355620288532695,0.11789270488977864,0.15849062871856934,0.0676428570772125,3.3392705356714933,2.2118635324640437,0.06482772281795018,0.09414578439483884,0.0032075460959779217,1.217068793955397,0.39740032775388384,1.0178816177785501,0.2214241724156637,0.8045559633893328,0.09669177917173859,0.3051751020049597,0.16200015811947416,0.38973207361283646,0.1893161154545069,0.22517822054043093,0.1007401975543204,0.4829566364331858,0.1176823768432933,0.12019533742404868,0.16308886481092486,0.3317954583229578,0.23867321903467617,0.26515248933843205,0.09908257865824754,0.1855091964170546,0.16118812708637845,0.24632374689749112,0.03674557742466279,0.6573904725314266,0.12032912978111172,0.08111923138227353,0.06500723116991172,0.1260143961852961,0.09979154582907131,0.22533696089843155,0.1040021774028314,0.1495897675529727,0.11725560665500699,0.13491815384941425,0.09896482790996591,0.1281616795586352,0.06857062277279533,0.12150052576902935,0.04641110154094276,0.11939878814189733,0.10505059427833999,0.11382487316618303,0.15426059286042973
