time,fcs_amplitude_proxy
10.0,-0.00018322004109688067
20.0,0.0006448872175828894
30.0,0.0004929536926334445
40.0,4.2801856760997514e-05
50.0,-0.0016790186769870818
60.0,-0.0009367450802617999
70.0,-0.0011626555925522072
80.0,-0.0022512798163558598
90.0,-0.0019240219519123525
100.0,-0.0020758514168967013
110.0,-0.0024498888254578036
120.0,-0.0016822956316033325
130.0,-0.002942317700578005
140.0,-0.0034308091702881863
150.0,-0.00320153580195761
160.0,-0.002802122490723702
170.0,-0.001857203655675481
180.0,-0.0004240955980515451
190.0,0.0029971046047011576
200.0,0.005447354670665584
210.0,0.007188104695461543
220.0,0.012189854712592957
