time,fcs_amplitude_proxy
10.0,0.02826305495890272
20.0,0.03079303221758269
30.0,0.03134922369263354
40.0,0.0315632118567611
50.0,0.03164777132301272
60.0,0.0316814099197381
70.0,0.03169480440744819
80.0,0.03170013518364384
90.0,0.031702255548087845
100.0,0.0317030985831033
110.0,0.0317034336745421
120.0,0.03170356686839627
130.0,0.031703619799421594
140.0,0.031703640829711915
150.0,0.03170364919804249
160.0,0.0317036525092764
170.0,0.03170365384432442
180.0,0.031703654401948556
190.0,0.03170365460470126
200.0,0.031703654670665285
210.0,0.031703654695461145
220.0,0.03170365471259286
