rank,model,success,rss,rmse,aic,bic,n_residuals,n_parameters,cost,nfev,message,delta_aic,delta_bic
1,start_1,True,6.0113413562437525e-09,2.2381803167312342e-05,-254.97429490833917,-254.48938825855117,12.0,1.0,3.0056706781218767e-09,8,`gtol` termination condition is satisfied.,0.0,0.0
2,start_3,True,6.011341383431379e-09,2.2381803217925678e-05,-254.9742948540665,-254.4893882042785,12.0,1.0,3.0056706917156896e-09,12,`gtol` termination condition is satisfied.,5.427267524282797e-08,5.427267524282797e-08
3,start_2,True,6.011341408348862e-09,2.2381803264312845e-05,-254.97429480432555,-254.48938815453755,12.0,1.0,3.005670704174431e-09,10,`gtol` termination condition is satisfied.,1.0401362260381575e-07,1.0401362260381575e-07
4,start_0,True,6.011341417915898e-09,2.238180328212314e-05,-254.97429478522758,-254.48938813543958,12.0,1.0,3.005670708957949e-09,6,`gtol` termination condition is satisfied.,1.2311159025557572e-07,1.2311159025557572e-07
5,start_4,True,6.0113414241830765e-09,2.2381803293790316e-05,-254.97429477271686,-254.48938812292886,12.0,1.0,3.0056707120915383e-09,10,`gtol` termination condition is satisfied.,1.3562231515606982e-07,1.3562231515606982e-07
6,start_5,True,6.011341448481637e-09,2.2381803339025277e-05,-254.9742947242114,-254.4893880744234,12.0,1.0,3.0056707242408184e-09,10,`gtol` termination condition is satisfied.,1.8412777080811793e-07,1.8412777080811793e-07
7,start_6,True,6.011341458991926e-09,2.2381803358591562e-05,-254.9742947032305,-254.4893880534425,12.0,1.0,3.005670729495963e-09,9,`xtol` termination condition is satisfied.,2.0510867670964217e-07,2.0510867670964217e-07
8,start_7,True,6.011341467321041e-09,2.2381803374097303e-05,-254.97429468660368,-254.48938803681568,12.0,1.0,3.0056707336605205e-09,5,`gtol` termination condition is satisfied.,2.2173549041326623e-07,2.2173549041326623e-07
