time,A,A2
0.0,1.0,0.0
1.0,0.9871473676003094,0.00642631619984531
2.0,0.9746209233001414,0.012689538349929303
3.0,0.9624083896426178,0.01879580517869111
4.0,0.9504981322728429,0.024750933863578555
5.0,0.9388790838725497,0.030560458063725135
6.0,0.9275406774334783,0.03622966128326083
7.0,0.9164728461528558,0.04176357692357206
8.0,0.9056660231213329,0.04716698843933354
9.0,0.8951110665353091,0.052444466732345416
10.0,0.8847992969894147,0.057600351505292614
11.0,0.874722440824134,0.06263877958793299
12.0,0.8648725581217481,0.06756372093912591
13.0,0.8552420427063354,0.0723789786468323
14.0,0.8458236221437708,0.07708818892811459
15.0,0.8366103577417265,0.08169482112913673
16.0,0.8275956409989772,0.08620217950051136
17.0,0.8187730914097963,0.09061345429510186
18.0,0.8101366569698084,0.09493167151509578
19.0,0.8016805476975789,0.09915972615121055
20.0,0.7933991817172911,0.10330040914135447
21.0,0.7852871852587464,0.10735640737062674
22.0,0.777339392657365,0.1113303036713175
23.0,0.7695508463541845,0.11522457682290771
24.0,0.7619167968958613,0.1190416015520693
25.0,0.7544327029346698,0.12278364853266506
26.0,0.7470942085744242,0.1264528957127879
27.0,0.7398970634266419,0.1300514682866791
28.0,0.7328372623755977,0.13358136881220117
29.0,0.7259109405589111,0.13704452972054443
30.0,0.7191143570564267,0.1404428214717867
31.0,0.7124438948902132,0.1437780525548934
32.0,0.7058960610245648,0.14705196948771762
33.0,0.6994674863660001,0.15026625681699998
34.0,0.6931549257632625,0.1534225371183687
35.0,0.6869552580073207,0.15652237099633964
36.0,0.6808654858313675,0.15956725708431624
37.0,0.674882735910821,0.16255863204458948
38.0,0.669004194925779,0.1654979025371105
39.0,0.6632271472131321,0.16838642639343387
40.0,0.6575490226309242,0.1712254886845379
41.0,0.6519673223713941,0.1740163388143029
42.0,0.6464796189149529,0.17676019054252354
43.0,0.6410835560301825,0.17945822198490874
44.0,0.6357768487738367,0.18211157561308164
45.0,0.6305572834908405,0.18472135825457975
46.0,0.6254227178142905,0.18728864109285476
