time,amide_percent_observed,amide_percent_fit,amide_percent_residual
0.0,100.0,1.0,-99.0
1.0,104.17987058030116,0.9871473676003094,-103.19272321270084
2.0,98.40916186805153,0.9746209233001414,-97.43454094475139
3.0,98.42587909385678,0.9624083896426178,-97.46347070421416
4.0,98.44739608465846,0.9504981322728429,-97.49689795238562
5.0,97.35580569462702,0.9388790838725497,-96.41692661075447
6.0,97.59528228280593,0.9275406774334783,-96.66774160537244
7.0,98.80937883893516,0.9164728461528558,-97.8929059927823
8.0,98.99593087017335,0.9056660231213329,-98.09026484705203
9.0,98.48480418044912,0.8951110665353091,-97.58969311391381
10.0,95.04820100053786,0.8847992969894147,-94.16340170354844
11.0,97.59215280293762,0.874722440824134,-96.71743036211349
12.0,95.38977881845692,0.8648725581217481,-94.52490626033517
13.0,94.59839395298954,0.8552420427063354,-93.7431519102832
14.0,97.66332660979457,0.8458236221437708,-96.8175029876508
15.0,96.17377527736186,0.8366103577417265,-95.33716491962012
16.0,95.82314592470247,0.8275956409989772,-94.9955502837035
17.0,96.16752017012514,0.8187730914097963,-95.34874707871535
18.0,96.91255205833326,0.8101366569698084,-96.10241540136346
19.0,93.35969535029668,0.8016805476975789,-92.5580148025991
20.0,94.3361994224825,0.7933991817172911,-93.5428002407652
21.0,94.19285207183576,0.7852871852587464,-93.407564886577
22.0,94.41124754232293,0.777339392657365,-93.63390814966556
23.0,94.25604633008348,0.7695508463541845,-93.4864954837293
24.0,90.8336373389138,0.7619167968958613,-90.07172054201794
25.0,92.40806208348997,0.7544327029346698,-91.6536293805553
26.0,90.79242087894188,0.7470942085744242,-90.04532667036746
27.0,91.45656581135978,0.7398970634266419,-90.71666874793314
28.0,89.10871981515093,0.7328372623755977,-88.37588255277534
29.0,88.67212543275902,0.7259109405589111,-87.94621449220011
30.0,90.43972142108086,0.7191143570564267,-89.72060706402443
31.0,89.85475917717145,0.7124438948902132,-89.14231528228123
32.0,89.16247170495157,0.7058960610245648,-88.45657564392701
33.0,87.8335774423401,0.6994674863660001,-87.1341099559741
34.0,89.27579247743282,0.6931549257632625,-88.58263755166955
