parameter,initial_guess,fitted_value,lower_bound,upper_bound,fixed,fixed_value,tied_to
k1f,0.01,0.006509986625797605,0.0,10.0,False,,
k1r,0.01,8.231939906794391e-21,0.0,10.0,False,,
