rank,start_index,model,success,message,cost,nfev,status,optimality,rss,mse,rmse,n_observations,n_nonlinear_parameters,n_linear_parameters,n_total_parameters,degrees_of_freedom,aic,bic,parameter_k1f
1,1,start_1,True,`ftol` termination condition is satisfied.,6.840374047966812e-08,12,2,1.515824620672314e-08,1.3680748095933626e-07,5.066943739234676e-09,6.164582552311232e-05,36.0,1.0,8.0,9.0,27.0,-679.9755631080238,-665.7238926619189,0.40005919385976213
2,4,start_4,True,`xtol` termination condition is satisfied.,6.840374050017836e-08,7,3,1.0722603910151889e-07,1.3680748100035672e-07,5.066943740753952e-09,6.164582553235429e-05,36.0,1.0,8.0,9.0,27.0,-679.9755630972296,-665.7238926511246,0.40005919448167643
3,2,start_2,True,`xtol` termination condition is satisfied.,6.840374068181982e-08,6,3,1.2009801215104418e-08,1.3680748136363965e-07,5.0669437542088755e-09,6.164582561420244e-05,36.0,1.0,8.0,9.0,27.0,-679.9755630016341,-665.7238925555291,0.400059196639551
4,5,start_5,True,`xtol` termination condition is satisfied.,6.840374080605544e-08,16,3,2.835860523471207e-07,1.368074816121109e-07,5.066943763411515e-09,6.164582567018334e-05,36.0,1.0,8.0,9.0,27.0,-679.9755629362504,-665.7238924901454,0.4000591917048153
5,0,start_0,True,`gtol` termination condition is satisfied.,6.840374092684835e-08,6,1,4.3035808975738123e-10,1.368074818536967e-07,5.066943772359137e-09,6.164582572461296e-05,36.0,1.0,8.0,9.0,27.0,-679.9755628726788,-665.7238924265738,0.4000591964209716
6,3,start_3,True,`xtol` termination condition is satisfied.,6.84037409343083e-08,20,3,1.414639697766775e-08,1.368074818686166e-07,5.066943772911726e-09,6.164582572797444e-05,36.0,1.0,8.0,9.0,27.0,-679.9755628687527,-665.7238924226477,0.40005919501379755
7,6,start_6,True,`xtol` termination condition is satisfied.,6.840374094944892e-08,14,3,3.0433289773828535e-07,1.3680748189889785e-07,5.066943774033253e-09,6.164582573479683e-05,36.0,1.0,8.0,9.0,27.0,-679.9755628607844,-665.7238924146794,0.40005919124095124
8,7,start_7,True,`gtol` termination condition is satisfied.,6.840374116227224e-08,5,1,5.056185441940501e-09,1.3680748232454448e-07,5.066943789797943e-09,6.164582583069561e-05,36.0,1.0,8.0,9.0,27.0,-679.9755627487782,-665.7238923026732,0.40005919676735935
