time,A,B,C
0.0,1.0,0.0,0.0
1.0,0.6702500960916836,0.32750883030506445,0.002241073603251952
2.0,0.44923535369071166,0.542855711002705,0.00790893530658354
3.0,0.30110023350597326,0.6830791556858722,0.015820610808154802
4.0,0.20181232733279122,0.7730037948135633,0.025183877853645686
5.0,0.13526473472931555,0.8292668232530288,0.03546844201765587
6.0,0.09066119723122999,0.86301929248153,0.04631951028724047
7.0,0.06076564061951406,0.8817344242542782,0.0574999351262081
8.0,0.04072816544610069,0.8904204232041658,0.06885141134973388
