time,fcs_amplitude_proxy,fcs_auc_proxy,fcs_half_tau_proxy
10.0,0.03133735465550386,298787.07799580134,52160.17095157467
20.0,0.03121771196838893,-1929534.8292460945,46925.98299275468
30.0,0.031284115248510554,-692786.5801400095,49831.02681632647
40.0,0.031342586023417475,396220.2935801279,52389.035444690846
50.0,0.03139217944988079,1319888.269519655,54558.67340494157
60.0,0.03143271810526361,2074912.8853817917,56332.17872305326
70.0,0.03146469278378807,2670435.088628806,57731.022909485735
80.0,0.03148911952104818,3125378.3456860296,58799.65599624773
90.0,0.03150728636372577,3463732.2768795453,59594.42809210913
100.0,0.03152051186392643,3710054.660152821,60173.023872335805
110.0,0.031529983792806186,3886467.5035581626,60587.40654197277
120.0,0.0315366855276142,4011286.018164616,60880.597379466955
130.0,0.031541385585711526,4098823.6911820583,61086.21786570009
140.0,0.03154466112118763,4159829.9058982395,61229.517625686676
150.0,0.03154693375247102,4202157.223998275,61328.94183275852
160.0,0.03154850564877671,4231433.488668919,61397.70993646934
170.0,0.03154959051498103,4251638.911898799,61445.17120435393
180.0,0.031550338118626314,4265562.885196978,61477.87774156447
190.0,0.03155085278170441,4275148.385484738,61500.393478641054
200.0,0.031551206827663464,4281742.422995597,61515.88245787121
210.0,0.03155145025836556,4286276.272739857,61526.53218566025
220.0,0.031551617586636646,4289392.729425579,61533.852546334165
