time,fcs_amplitude_proxy,fcs_auc_proxy,fcs_half_tau_proxy
10.0,0.03225403468407817,1137565.7161974907,57761.30707545279
20.0,0.03424255464252923,-3487549.532263458,56214.96596520493
30.0,0.03402706602911712,-2986342.759092152,56382.537278881355
40.0,0.03379378206419306,-2443745.6285951138,56563.94686634393
50.0,0.033545110346487106,-1865357.9948503375,56757.32249650062
60.0,0.03328318227761623,-1256137.3027541041,56961.006718578225
70.0,0.033009883517957805,-620469.4255927205,57173.53317859364
80.0,0.03272687999514676,37770.841576159,57393.60639425728
90.0,0.03243564227195617,715163.1044656038,57620.082805676066
100.0,0.03213746783799307,1408689.5211167932,57851.95344056835
110.0,0.031833499850655284,2115691.2121509314,58088.3293406553
120.0,0.03152474481600112,2833827.1366856694,58328.427812411945
130.0,0.031212089377235103,3561035.043855667,58571.55937176681
140.0,0.030896311852932068,4295504.635960162,58817.11877158418
150.0,0.030578096718536174,5035643.885823131,59064.57374035538
160.0,0.030258044750458624,5780055.442551196,59313.45709380158
170.0,0.029936682840068285,6527513.805090725,59563.35910317922
180.0,0.029614472653208213,7276945.180985391,59813.92076134353
190.0,0.029291818273430054,8027409.708913505,60064.82783910859
200.0,0.028969073024398717,8778085.590399742,60315.80557991195
210.0,0.028646545370386384,9528255.365806341,60566.61411138857
220.0,0.028324504305613618,10277293.37921971,60817.044254435255
