time,fcs_amplitude_proxy,fcs_auc_proxy,fcs_half_tau_proxy
10.0,0.003807759684078569,-159460.2432331047,17761.007075452784
20.0,0.004094409642529433,-4243508.742307959,-32585.234034795067
30.0,0.0031707960291170213,-3336241.661879571,16382.237278881352
40.0,0.002273372064192959,-2565748.708442387,42163.64686634393
50.0,0.00021832034648730514,-2070646.0760249952,-6442.877503499374
60.0,0.0006650272776163313,-1335507.835111877,42560.70671857822
70.0,0.00015242351795740489,-786976.7045929322,17173.23317859364
80.0,-0.0012245350048529433,-56429.58918413402,-31406.593605742717
90.0,-0.0011906352280440305,584422.5606572996,-31180.11719432393
100.0,-0.0016414821620069353,1460121.2636126068,-30948.246559431645
110.0,-0.002319822649344619,2138445.7950760857,-30711.8706593447
120.0,-0.0018611176839984783,2810960.7842962868,43928.12781241194
130.0,-0.0034338481227644962,3175874.909701054,-30228.64062823319
140.0,-0.004238138147068034,4380279.860278158,-29983.081228415816
150.0,-0.004327088281463928,5145606.91821241,-4135.626259644618
160.0,-0.004247730249541476,5296450.781425565,21713.257093801585
170.0,-0.003624174659931617,5406783.724311078,21963.15910317922
180.0,-0.002513277346791888,2224206.7250458226,-3386.279238656469
190.0,0.0005852682734299522,3446174.2928815708,-3135.3721608914057
200.0,0.0027127730243990157,3125369.0684066517,-2884.3944200880505
210.0,0.004130995370386782,-10900545.70595273,-5033.685888611435
220.0,0.008810704305613717,-13739631.417174902,18416.644254435254
